"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.557","0.000","-291.300","13999.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.939","0.000","-279.000","13992.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.358","0.010","-310.500","13999.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.706","0.018","-285.300","13993.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.149","0.023","-312.300","13999.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.475","0.028","-302.400","13996.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.857","0.033","-309.900","13998.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.092","0.037","-215.100","13997.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.267","0.041","-140.100","13996.4","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.541","0.045","-120.600","13999.4","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.805","0.048","-219.900","13995.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.798","0.052","-174.000","14001.4","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.898","0.055","-202.200","13994.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.762","0.059","-209.400","14002.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","9.750","0.062","-108.300","13994.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","9.945","0.065","-164.100","13995.4","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","9.956","0.068","-122.700","13953.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.129","0.072","-97.800","13907.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.199","0.076","-132.000","13845.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.297","0.081","-101.400","13788.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.361","0.085","-114.900","13722.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.456","0.090","-132.600","13656.0","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.535","0.094","-140.400","13588.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.704","0.098","-198.000","13513.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.672","0.102","-152.100","13443.1","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.737","0.106","-134.100","13356.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.801","0.109","-153.300","13283.0","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.749","0.112","-136.500","13198.1","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.759","0.114","-140.400","13127.5","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.661","0.117","-123.600","13052.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.640","0.119","-130.200","12983.8","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.469","0.121","-108.600","12921.8","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","10.445","0.123","-121.200","12858.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","10.238","0.125","-96.000","12810.6","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","10.152","0.127","-98.100","12754.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.987","0.128","-105.900","12712.0","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.769","0.130","-69.600","12661.5","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.689","0.131","-88.500","12613.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.446","0.133","-71.100","12567.7","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","9.351","0.135","-79.800","12511.5","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","9.100","0.136","-51.300","12464.7","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","9.014","0.138","-75.900","12403.3","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.793","0.139","-62.700","12347.3","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.622","0.141","-49.500","12285.0","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.529","0.143","-71.100","12215.8","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","8.279","0.144","-43.800","12154.5","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","8.205","0.146","-62.400","12079.0","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.984","0.148","-43.200","12012.8","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.889","0.149","-56.100","11939.9","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.732","0.151","-57.900","11864.6","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.583","0.153","-39.300","11797.7","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.494","0.155","-62.400","11718.7","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.323","0.157","-38.700","11650.0","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.242","0.159","-59.100","11578.9","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.100","0.160","-48.600","11503.8","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.998","0.162","-44.700","11441.4","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.891","0.164","-59.100","11370.6","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.769","0.166","-45.900","11306.6","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.679","0.168","-43.500","11248.5","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.591","0.170","-58.500","11181.4","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.464","0.172","-39.300","11125.7","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.391","0.174","-51.000","11064.4","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.290","0.177","-55.200","10999.2","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.202","0.180","-42.300","10942.8","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.161","0.182","-74.700","10875.4","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.048","0.186","-62.100","10808.4","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.029","0.189","-60.600","10746.2","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.977","0.192","-88.200","10671.7","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.912","0.196","-67.800","10602.4","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.920","0.199","-81.000","10533.9","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.880","0.203","-97.800","10455.4","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.846","0.207","-76.200","10385.3","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.857","0.210","-97.800","10313.7","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.821","0.214","-106.200","10234.5","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.803","0.218","-82.800","10165.6","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.849","0.222","-117.000","10092.8","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.799","0.226","-110.100","10014.9","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.815","0.230","-92.700","9946.4","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.835","0.234","-125.700","9874.2","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.797","0.238","-108.600","9796.1","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.821","0.242","-105.300","9726.9","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.832","0.246","-124.800","9654.4","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.810","0.250","-117.300","9575.2","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.821","0.255","-105.000","9503.0","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.849","0.259","-130.200","9430.3","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.798","0.263","-117.300","9349.2","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.813","0.267","-114.300","9273.2","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.828","0.271","-126.900","9200.0","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.799","0.275","-119.700","9118.4","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.801","0.279","-112.500","9038.3","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.831","0.283","-122.400","8964.0","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.805","0.287","-128.400","8882.8","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.780","0.291","-119.100","8799.0","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.792","0.296","-120.900","8722.4","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.772","0.300","-121.800","8642.7","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.775","0.304","-122.400","8557.1","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.787","0.308","-124.200","8474.5","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.780","0.312","-125.100","8395.9","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.752","0.316","-125.700","8309.9","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.756","0.321","-124.500","8222.0","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.757","0.325","-123.900","8139.4","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.751","0.329","-127.200","8055.7","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.741","0.333","-126.900","7965.2","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.750","0.338","-117.000","7875.6","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.769","0.342","-134.400","7791.0","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.753","0.346","-132.000","7702.8","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.730","0.351","-124.500","7609.4","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.751","0.355","-124.500","7518.4","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.761","0.359","-138.000","7433.1","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.731","0.364","-128.700","7348.2","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.736","0.368","-124.500","7255.8","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.750","0.372","-128.100","7172.2","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.738","0.377","-140.100","7096.8","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.704","0.381","-133.500","7018.8","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.690","0.386","-122.700","6942.5","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.734","0.390","-125.100","6870.1","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.744","0.394","-143.400","6801.3","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.699","0.399","-135.000","6730.0","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.685","0.403","-124.200","6654.9","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.707","0.408","-131.700","6581.8","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.704","0.412","-139.800","6510.7","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.692","0.417","-136.200","6439.3","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.666","0.422","-134.100","6362.8","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.657","0.426","-130.800","6285.0","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.667","0.431","-133.200","6208.6","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.673","0.435","-145.500","6133.2","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.641","0.440","-135.300","6056.5","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.640","0.445","-136.500","5975.6","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.643","0.449","-135.900","5895.1","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.657","0.454","-143.400","5815.3","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.638","0.459","-142.800","5737.3","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.608","0.463","-137.100","5658.9","9.000","9.000","6.434","4.268","0.262"
"132","2","6.000","5.607","0.468","-144.600","5577.0","9.000","9.000","6.433","4.266","0.264"
"133","2","6.000","5.584","0.473","-136.200","5495.2","9.000","9.000","6.432","4.264","0.266"
"134","2","6.000","5.610","0.478","-142.200","5414.5","9.000","9.000","6.431","4.261","0.268"
"135","2","6.000","5.600","0.482","-146.100","5334.3","9.000","9.000","6.429","4.259","0.270"
"136","2","6.000","5.583","0.487","-140.400","5255.8","9.000","9.000","6.428","4.256","0.272"
"137","2","6.000","5.574","0.492","-143.400","5174.8","9.000","9.000","6.427","4.254","0.274"
"138","2","6.000","5.565","0.497","-142.800","5092.0","9.000","9.000","6.426","4.252","0.276"
"139","2","6.000","5.567","0.502","-144.900","5010.4","9.000","9.000","6.425","4.249","0.278"
"140","2","6.000","5.575","0.507","-145.800","4929.4","9.000","9.000","6.424","4.247","0.280"
"141","2","6.000","5.575","0.512","-144.300","4849.0","9.000","9.000","6.422","4.245","0.282"
"142","2","6.000","5.570","0.517","-141.300","4769.6","9.000","9.000","6.421","4.242","0.284"
"143","2","6.000","5.582","0.522","-155.700","4688.4","9.000","9.000","6.420","4.240","0.286"
"144","2","6.000","5.553","0.527","-144.900","4605.5","9.000","9.000","6.419","4.238","0.288"
"145","2","6.000","5.572","0.532","-141.900","4523.8","9.000","9.000","6.418","4.235","0.290"
"146","2","6.000","5.607","0.537","-151.800","4442.1","9.000","9.000","6.416","4.233","0.292"
"147","2","6.000","5.607","0.542","-154.500","4361.5","9.000","9.000","6.415","4.231","0.294"
"148","2","6.000","5.583","0.547","-144.000","4281.3","9.000","9.000","6.414","4.228","0.296"
"149","2","6.000","5.593","0.552","-155.400","4200.1","9.000","9.000","6.413","4.226","0.298"
"150","2","6.000","5.575","0.557","-156.300","4118.2","9.000","9.000","6.412","4.224","0.300"
"151","2","6.000","5.550","0.562","-144.000","4035.2","9.000","9.000","6.411","4.221","0.302"
"152","2","6.000","5.572","0.567","-147.300","3953.4","9.000","9.000","6.409","4.219","0.304"
"153","2","6.000","5.603","0.572","-153.000","3871.6","9.000","9.000","6.408","4.216","0.306"
"154","2","6.000","5.596","0.577","-156.900","3791.0","9.000","9.000","6.407","4.214","0.308"
"155","2","6.000","5.566","0.583","-151.500","3710.0","9.000","9.000","6.406","4.212","0.310"
"156","2","6.000","5.556","0.588","-157.200","3629.4","9.000","9.000","6.405","4.209","0.312"
"157","2","6.000","5.529","0.593","-159.000","3547.8","9.000","9.000","6.404","4.207","0.314"
"158","2","6.000","5.496","0.598","-160.200","3465.4","9.000","9.000","6.402","4.205","0.316"
"159","2","6.000","5.467","0.603","-153.000","3382.7","9.000","9.000","6.401","4.202","0.318"
"160","2","6.000","5.468","0.608","-153.900","3300.6","9.000","10.000","6.400","4.200","0.320"
"161","2","6.000","5.457","0.614","-164.400","3218.9","9.000","10.000","6.400","4.200","0.322"
"162","2","6.000","5.424","0.619","-159.600","3137.7","9.000","10.000","6.400","4.200","0.324"
"163","2","6.000","5.396","0.625","-158.400","3056.7","9.000","10.000","6.400","4.200","0.326"
"164","2","6.000","5.366","0.630","-163.200","2975.2","9.000","10.000","6.400","4.200","0.328"
"165","2","6.000","5.331","0.636","-169.800","2893.7","9.000","10.000","6.400","4.200","0.330"
"166","2","6.000","5.282","0.641","-171.300","2811.2","10.000","10.000","6.400","4.200","0.332"
"167","2","6.000","5.221","0.647","-169.800","2729.6","10.000","10.000","6.400","4.200","0.334"
"168","2","6.000","5.173","0.653","-167.400","2647.7","10.000","10.000","6.400","4.200","0.336"
"169","2","6.000","5.137","0.658","-171.300","2565.2","10.000","10.000","6.400","4.200","0.338"
