"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.284","0.000","-319.500","13997.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.777","0.000","-264.600","13991.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.141","0.010","-297.300","14000.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.557","0.018","-272.100","13993.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","7.945","0.023","-309.600","14001.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.477","0.028","-255.900","13993.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.736","0.032","-314.700","14000.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.964","0.037","-211.200","13994.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.312","0.041","-116.400","13999.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.603","0.044","-136.800","13997.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.698","0.048","-206.400","13998.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.887","0.051","-154.800","13998.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.089","0.055","-154.200","13996.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.196","0.058","-155.100","14001.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.334","0.061","-159.000","13996.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.377","0.064","-151.500","13994.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.489","0.067","-130.500","13953.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.510","0.069","-141.600","13907.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.576","0.073","-134.100","13842.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.491","0.077","-150.900","13786.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.587","0.081","-95.400","13717.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.532","0.085","-145.500","13654.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.572","0.088","-157.800","13583.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.483","0.092","-182.400","13511.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.455","0.095","-141.000","13436.4","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.405","0.098","-145.200","13353.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.242","0.101","-158.400","13278.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.192","0.104","-122.100","13193.9","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.034","0.107","-138.900","13125.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.955","0.110","-123.300","13048.0","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.752","0.113","-121.800","12984.8","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.722","0.115","-100.500","12919.7","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.473","0.118","-129.300","12860.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.389","0.121","-94.200","12811.4","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.246","0.123","-104.100","12756.5","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.041","0.126","-110.100","12715.1","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.966","0.129","-85.800","12661.8","7.000","7.000","11.056","5.922","0.072"
