"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.517","0.000","-299.400","13999.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.978","0.000","-278.400","13992.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.341","0.010","-306.300","13998.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.808","0.018","-255.300","13994.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.282","0.023","-325.800","13998.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.628","0.028","-282.000","13996.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.093","0.032","-297.900","13996.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.284","0.037","-238.200","13998.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.544","0.041","-117.600","13995.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.894","0.044","-139.200","14000.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.098","0.048","-222.000","13995.3","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.149","0.051","-144.000","14002.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.382","0.054","-157.200","13995.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.517","0.057","-161.400","14003.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.594","0.060","-161.700","13995.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.678","0.063","-142.200","13995.1","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.746","0.066","-148.500","13954.2","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.766","0.069","-134.700","13905.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.777","0.072","-142.200","13845.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.746","0.076","-147.900","13785.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.700","0.080","-105.000","13723.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.695","0.083","-153.900","13654.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.611","0.087","-143.100","13589.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.605","0.090","-192.900","13512.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.453","0.094","-128.700","13442.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.443","0.097","-152.100","13356.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.286","0.100","-138.300","13282.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.174","0.103","-132.600","13198.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.037","0.106","-139.200","13126.5","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.886","0.109","-111.000","13053.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.778","0.112","-134.100","12983.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.573","0.114","-91.200","12925.7","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.509","0.117","-137.400","12862.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.235","0.120","-85.800","12815.4","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.209","0.123","-105.900","12759.9","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.978","0.126","-117.600","12716.5","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.843","0.129","-77.700","12668.1","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.722","0.132","-118.800","12618.1","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.521","0.135","-66.900","12574.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.471","0.138","-122.100","12517.2","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.207","0.141","-70.200","12470.3","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.224","0.144","-96.300","12410.1","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.980","0.147","-108.900","12352.0","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.895","0.150","-57.900","12291.9","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.818","0.153","-120.900","12221.6","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.612","0.156","-63.900","12160.7","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.619","0.159","-108.000","12085.8","7.000","7.000","9.944","5.478","0.092"
