"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.804","0.000","-325.800","13998.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.130","0.000","-276.900","13995.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.583","0.010","-315.900","13996.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.927","0.018","-271.800","13997.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.369","0.023","-300.000","13996.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.782","0.028","-323.100","13999.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.088","0.033","-289.500","13994.6","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.427","0.037","-221.100","14001.3","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.583","0.041","-143.100","13994.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.880","0.045","-155.100","14002.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.069","0.048","-199.200","13993.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.125","0.052","-249.300","14001.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.952","0.055","-285.900","13993.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.505","0.058","-228.600","14000.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","9.293","0.062","-66.300","13995.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","9.626","0.065","-171.900","13993.8","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","9.627","0.068","-107.400","13957.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","9.717","0.072","-67.800","13905.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","9.920","0.076","-106.800","13849.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.002","0.082","-116.100","13786.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.070","0.087","-98.100","13727.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.178","0.092","-123.300","13656.1","6.000","6.000","12.375","6.500","0.042"
