"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.502","0.000","-307.500","13998.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.905","0.000","-266.400","13995.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.349","0.010","-306.900","13997.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.756","0.018","-268.500","13996.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.252","0.023","-315.600","13995.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.608","0.028","-288.600","13998.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.993","0.033","-317.700","13994.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.175","0.037","-204.300","14000.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.514","0.041","-128.100","13994.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.748","0.044","-157.500","14002.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.993","0.048","-165.900","13994.4","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.060","0.051","-189.000","14002.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.319","0.055","-131.400","13994.5","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.393","0.058","-186.600","14001.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.522","0.061","-128.400","13996.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.589","0.064","-181.500","13994.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.636","0.066","-113.400","13956.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.726","0.069","-154.500","13904.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.705","0.073","-125.700","13848.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.712","0.077","-153.900","13787.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.678","0.081","-99.300","13727.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.753","0.084","-144.600","13655.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.661","0.088","-156.900","13593.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.694","0.092","-171.900","13516.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.532","0.095","-160.800","13448.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.574","0.098","-120.300","13363.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.382","0.101","-179.100","13286.9","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.289","0.104","-101.700","13205.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.152","0.107","-162.300","13128.1","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.980","0.109","-103.800","13057.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.886","0.112","-139.200","12982.5","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.652","0.115","-102.300","12924.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.599","0.117","-112.800","12858.6","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.298","0.120","-118.500","12811.1","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.293","0.123","-71.400","12757.4","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.022","0.126","-140.700","12709.8","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.898","0.128","-60.000","12665.3","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.770","0.131","-121.800","12612.7","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.548","0.134","-80.400","12570.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.503","0.137","-90.300","12514.0","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.231","0.140","-104.100","12465.5","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.244","0.143","-61.200","12408.2","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.988","0.146","-127.500","12347.2","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.931","0.149","-49.800","12290.3","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.817","0.152","-113.400","12218.6","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.618","0.155","-85.800","12157.0","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.615","0.158","-74.100","12084.9","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.368","0.161","-119.400","12013.4","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.347","0.164","-53.100","11946.2","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.206","0.167","-112.800","11867.4","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.079","0.170","-81.300","11800.5","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.051","0.173","-72.600","11724.5","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.878","0.176","-111.300","11650.2","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.828","0.179","-60.300","11583.6","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.735","0.182","-99.300","11506.5","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.607","0.185","-92.700","11441.7","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.570","0.188","-65.400","11374.5","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.449","0.191","-109.200","11306.0","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.350","0.194","-65.100","11249.4","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.344","0.197","-73.800","11184.1","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.158","0.200","-111.900","11123.2","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.140","0.203","-43.200","11067.6","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.076","0.207","-103.500","10999.8","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","5.937","0.210","-94.800","10941.9","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.959","0.214","-67.800","10878.3","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.835","0.218","-128.400","10808.2","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.781","0.222","-79.200","10746.6","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.808","0.226","-95.700","10675.0","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.695","0.230","-134.700","10600.7","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.704","0.235","-77.100","10534.2","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.731","0.239","-117.900","10457.7","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.630","0.244","-140.100","10382.5","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.671","0.248","-86.700","10314.0","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.674","0.253","-146.700","10235.9","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.578","0.258","-139.800","10161.5","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.660","0.263","-93.300","10092.8","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.632","0.267","-160.200","10015.2","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.572","0.272","-134.400","9942.0","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.640","0.277","-107.400","9873.8","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.637","0.282","-157.200","9796.6","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.577","0.287","-138.000","9722.3","8.000","9.000","6.494","4.388","0.160"
