"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.804","0.000","-310.500","13994.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.178","0.000","-265.200","13997.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.638","0.010","-302.400","13993.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.992","0.018","-298.200","14000.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.529","0.023","-263.700","13993.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.794","0.028","-338.700","14001.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.249","0.033","-266.100","13993.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.435","0.037","-234.900","14002.3","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.653","0.041","-136.200","13994.4","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.028","0.044","-124.800","14001.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.128","0.048","-215.400","13995.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.249","0.051","-160.800","14001.1","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.470","0.055","-137.400","13998.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.611","0.058","-177.300","13999.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.655","0.061","-153.000","13999.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.782","0.064","-148.800","13990.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.788","0.067","-139.500","13959.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.893","0.069","-143.100","13901.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.824","0.073","-142.200","13850.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.856","0.077","-136.200","13782.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.790","0.081","-123.000","13726.1","6.000","6.000","12.313","6.500","0.040"
