"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.656","0.000","-289.500","13999.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.092","0.000","-291.000","13992.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.517","0.010","-275.100","13998.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.992","0.018","-274.800","13994.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.315","0.023","-341.400","13998.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.811","0.028","-252.000","13997.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.093","0.032","-324.300","13998.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.295","0.037","-217.500","13998.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.640","0.041","-108.900","13994.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.907","0.044","-159.300","14000.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.085","0.048","-178.500","13995.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.180","0.051","-180.000","14003.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.483","0.055","-118.800","13995.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.522","0.058","-186.600","14002.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.722","0.061","-125.700","13994.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.697","0.064","-180.900","13994.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.845","0.066","-108.900","13954.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.849","0.069","-164.100","13906.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.866","0.072","-129.900","13845.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.815","0.076","-144.900","13787.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.850","0.080","-109.800","13723.7","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.798","0.084","-150.300","13655.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.758","0.088","-154.800","13590.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.733","0.091","-172.500","13514.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.582","0.094","-166.200","13445.1","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.614","0.097","-117.900","13359.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.385","0.100","-170.100","13286.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.366","0.103","-106.500","13201.9","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.136","0.106","-155.100","13129.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.078","0.109","-105.900","13055.7","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.897","0.112","-127.800","12985.8","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.748","0.115","-115.200","12926.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.617","0.117","-109.500","12863.6","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.391","0.120","-117.900","12817.0","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.367","0.123","-78.300","12760.8","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.044","0.125","-135.900","12717.5","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.019","0.128","-72.000","12668.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.796","0.131","-105.600","12619.2","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.657","0.134","-96.900","12575.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.531","0.137","-83.700","12518.3","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.359","0.140","-99.600","12471.9","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.304","0.143","-77.400","12411.2","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.075","0.146","-102.900","12354.4","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.036","0.149","-80.100","12293.8","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.870","0.152","-87.000","12224.5","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.756","0.155","-96.600","12163.5","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.658","0.158","-78.900","12088.8","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.527","0.161","-90.000","12022.2","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.447","0.164","-89.100","11951.4","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.327","0.167","-79.800","11875.4","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.233","0.170","-91.200","11809.1","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.150","0.172","-76.500","11731.2","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.059","0.175","-87.300","11661.4","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.951","0.178","-87.900","11591.6","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.904","0.181","-69.600","11516.3","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.774","0.184","-96.300","11453.8","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.718","0.186","-67.200","11383.6","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.622","0.189","-88.500","11318.3","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.513","0.192","-78.600","11261.2","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.484","0.194","-65.700","11194.1","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.339","0.197","-86.700","11137.9","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.293","0.200","-67.800","11077.6","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.232","0.203","-68.400","11011.9","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.136","0.207","-92.100","10955.8","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.097","0.210","-75.000","10888.9","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.042","0.214","-88.800","10821.7","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.964","0.218","-99.000","10759.8","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.957","0.221","-86.100","10686.2","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.912","0.225","-104.400","10615.7","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.843","0.229","-105.600","10548.6","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.871","0.234","-95.100","10470.4","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.789","0.238","-122.400","10399.9","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.772","0.242","-107.100","10329.2","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.794","0.246","-103.500","10250.3","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.728","0.251","-129.600","10180.9","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.729","0.255","-112.500","10109.7","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.766","0.260","-111.900","10031.5","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.703","0.264","-140.400","9962.8","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.703","0.269","-120.300","9891.6","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.769","0.274","-116.100","9813.9","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.674","0.278","-151.500","9744.4","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.704","0.283","-121.800","9673.0","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.756","0.288","-126.600","9594.0","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.677","0.292","-152.700","9521.8","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.691","0.297","-126.900","9449.8","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.758","0.302","-122.700","9369.3","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.677","0.306","-159.300","9293.1","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.679","0.311","-128.100","9220.6","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.754","0.316","-125.100","9139.6","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.670","0.321","-156.000","9059.5","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.667","0.325","-138.900","8985.9","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.715","0.330","-131.700","8905.0","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.699","0.335","-144.000","8821.5","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.661","0.340","-144.600","8745.0","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.695","0.344","-136.800","8666.1","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.710","0.349","-140.700","8580.8","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.687","0.354","-144.300","8498.4","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.682","0.359","-147.600","8420.3","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.706","0.364","-136.800","8334.7","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.734","0.369","-135.000","8246.9","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.689","0.374","-157.200","8164.8","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.690","0.378","-145.500","8081.6","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.742","0.383","-128.700","7991.3","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.738","0.388","-148.800","7902.1","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.673","0.393","-169.200","7817.8","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.701","0.398","-131.700","7730.1","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.761","0.403","-132.900","7637.1","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.719","0.408","-162.600","7546.5","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.667","0.413","-158.700","7461.0","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.721","0.417","-123.300","7371.5","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.792","0.422","-135.300","7278.6","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.726","0.427","-168.000","7187.7","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.675","0.432","-156.000","7101.0","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.746","0.437","-119.400","7014.4","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.808","0.442","-145.500","6933.4","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.745","0.447","-169.800","6857.4","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.708","0.452","-149.100","6785.8","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.756","0.457","-128.400","6712.7","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.779","0.462","-150.600","6636.9","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.750","0.466","-157.500","6563.8","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.717","0.471","-152.100","6493.6","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.695","0.476","-144.600","6423.1","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.717","0.481","-140.400","6347.9","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.735","0.486","-151.500","6271.9","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.718","0.491","-150.000","6197.1","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.690","0.496","-151.800","6123.4","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.691","0.501","-144.600","6047.9","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.716","0.506","-147.300","5968.2","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.722","0.511","-152.100","5888.7","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.728","0.516","-154.500","5809.8","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.672","0.521","-159.900","5732.5","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.676","0.527","-143.700","5654.2","9.000","9.000","6.434","4.268","0.262"
"132","2","6.000","5.705","0.532","-143.100","5572.9","9.000","9.000","6.433","4.266","0.264"
"133","2","6.000","5.728","0.537","-153.900","5491.4","9.000","9.000","6.432","4.264","0.266"
"134","2","6.000","5.737","0.542","-150.900","5410.9","9.000","9.000","6.431","4.261","0.268"
"135","2","6.000","5.734","0.547","-151.800","5331.3","9.000","9.000","6.429","4.259","0.270"
"136","2","6.000","5.701","0.552","-155.100","5253.5","9.000","9.000","6.428","4.256","0.272"
"137","2","6.000","5.684","0.557","-155.400","5173.3","9.000","9.000","6.427","4.254","0.274"
"138","2","6.000","5.687","0.562","-154.500","5090.6","9.000","9.000","6.426","4.252","0.276"
"139","2","6.000","5.693","0.567","-154.200","5009.1","9.000","9.000","6.425","4.249","0.278"
"140","2","6.000","5.728","0.573","-148.500","4928.5","9.000","9.000","6.424","4.247","0.280"
"141","2","6.000","5.684","0.578","-164.100","4848.2","9.000","9.000","6.422","4.245","0.282"
"142","2","6.000","5.641","0.583","-155.400","4769.4","9.000","9.000","6.421","4.242","0.284"
"143","2","6.000","5.627","0.588","-156.900","4688.0","9.000","9.000","6.420","4.240","0.286"
"144","2","6.000","5.628","0.593","-154.800","4604.9","9.000","9.000","6.419","4.238","0.288"
"145","2","6.000","5.643","0.599","-154.500","4522.7","9.000","9.000","6.418","4.235","0.290"
