"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.801","0.000","-288.000","13993.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.250","0.000","-291.900","13999.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.645","0.010","-296.100","13995.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.023","0.018","-326.100","13997.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.453","0.023","-253.800","13997.4","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.888","0.028","-368.400","13995.8","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.129","0.032","-241.200","13998.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.577","0.037","-253.200","13994.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.613","0.041","-147.300","14001.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.930","0.044","-99.300","13995.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.234","0.048","-243.600","14003.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.231","0.051","-143.100","13994.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.437","0.055","-165.000","14003.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.523","0.058","-148.800","13995.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.692","0.061","-168.000","14002.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.706","0.064","-128.400","13988.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.825","0.067","-152.700","13958.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.836","0.069","-127.500","13903.2","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.905","0.073","-150.000","13844.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.809","0.077","-131.100","13783.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.831","0.081","-122.700","13717.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.789","0.085","-142.800","13655.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.733","0.089","-165.600","13580.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.683","0.092","-181.200","13515.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.580","0.096","-150.300","13432.6","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.518","0.099","-149.100","13359.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.372","0.102","-140.400","13275.4","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.292","0.105","-150.300","13201.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.074","0.108","-124.800","13126.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.996","0.111","-143.100","13053.9","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.755","0.114","-108.000","12992.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.691","0.117","-130.800","12925.6","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.462","0.120","-124.500","12875.9","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.273","0.123","-94.500","12817.6","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.158","0.126","-129.300","12773.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.898","0.129","-94.800","12723.7","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.809","0.132","-119.700","12674.4","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.532","0.135","-79.800","12631.2","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.514","0.139","-115.800","12575.9","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.247","0.142","-101.400","12531.1","7.000","7.000","10.722","5.789","0.078"
