"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.919","0.000","-279.600","13995.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.228","0.000","-311.700","13997.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.656","0.010","-291.000","13995.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.089","0.018","-268.200","13999.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.528","0.023","-330.300","13993.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.860","0.028","-281.400","14001.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.338","0.033","-293.100","13994.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.435","0.037","-254.700","14002.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.728","0.041","-87.000","13994.2","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.047","0.045","-177.900","14002.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.180","0.048","-186.300","13994.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.274","0.052","-179.700","14001.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.467","0.055","-126.900","13997.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.600","0.058","-206.700","14000.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.598","0.061","-132.000","13999.1","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.718","0.064","-173.100","13990.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.697","0.067","-129.600","13958.2","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.786","0.070","-153.300","13901.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.730","0.074","-130.200","13850.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.777","0.078","-141.000","13784.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.675","0.082","-126.600","13727.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.724","0.086","-124.200","13654.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.668","0.090","-179.400","13593.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.668","0.094","-162.000","13518.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.546","0.098","-182.100","13449.7","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.509","0.101","-107.100","13369.1","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.467","0.105","-186.600","13289.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.270","0.108","-114.000","13212.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.274","0.111","-149.100","13131.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.035","0.114","-126.900","13064.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.012","0.117","-118.500","12987.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.794","0.120","-132.300","12928.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.728","0.123","-104.100","12865.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.517","0.126","-134.700","12813.5","7.000","7.000","11.389","6.056","0.066"
