"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.534","0.000","-301.800","13997.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.933","0.000","-262.200","13994.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.361","0.010","-329.400","13996.6","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.783","0.018","-236.700","13996.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.258","0.023","-326.700","13995.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.589","0.028","-279.900","13999.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.089","0.033","-305.400","13994.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.154","0.037","-242.700","14000.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.526","0.041","-79.800","13994.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.852","0.044","-184.500","14003.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.956","0.048","-187.800","13994.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.076","0.051","-157.500","14002.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.335","0.055","-140.700","13995.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.417","0.058","-206.700","14002.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.468","0.061","-109.200","13996.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.628","0.064","-186.600","13994.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.593","0.066","-124.200","13957.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.669","0.069","-157.800","13905.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.634","0.073","-111.300","13850.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.710","0.077","-162.600","13787.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.564","0.081","-108.000","13728.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.627","0.085","-144.000","13657.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.541","0.088","-153.300","13595.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.559","0.092","-185.400","13517.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.363","0.095","-160.800","13449.7","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.385","0.099","-117.900","13366.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.255","0.102","-186.300","13290.6","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.080","0.105","-102.900","13209.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.040","0.108","-163.500","13132.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.804","0.111","-105.300","13062.8","6.000","7.000","11.833","6.233","0.058"
