"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.715","0.000","-304.200","13999.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.091","0.000","-264.300","13995.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.493","0.010","-331.200","13998.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.833","0.018","-257.700","13997.0","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.333","0.023","-316.200","13996.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.618","0.028","-297.000","13998.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.098","0.033","-295.500","13994.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.276","0.037","-228.600","14000.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.490","0.041","-122.100","13995.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.840","0.045","-144.900","14002.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.010","0.048","-219.300","13994.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.025","0.052","-156.900","14002.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.287","0.055","-136.200","13994.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.420","0.058","-189.900","14002.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.476","0.062","-136.500","13996.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.601","0.065","-159.300","13994.4","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.639","0.067","-127.200","13957.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.713","0.070","-158.400","13906.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.695","0.074","-114.300","13851.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.744","0.078","-161.700","13789.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.660","0.082","-102.600","13729.7","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.733","0.086","-148.500","13659.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.650","0.090","-155.400","13597.9","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.698","0.094","-182.700","13520.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.568","0.097","-161.400","13453.4","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.556","0.101","-123.300","13368.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.468","0.104","-175.200","13293.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.334","0.107","-108.600","13211.4","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.268","0.110","-165.000","13135.0","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.051","0.113","-104.100","13063.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.019","0.116","-137.700","12989.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.772","0.118","-114.300","12929.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.731","0.121","-112.800","12862.0","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.475","0.124","-120.300","12813.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.383","0.127","-85.200","12758.8","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.211","0.129","-136.200","12711.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.982","0.132","-68.100","12666.0","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.942","0.135","-115.800","12614.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.667","0.138","-88.800","12572.1","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.632","0.141","-89.400","12516.0","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.394","0.144","-97.500","12468.6","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.345","0.147","-72.000","12411.7","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.170","0.149","-116.400","12351.8","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.003","0.152","-59.100","12295.5","7.000","7.000","10.278","5.611","0.086"
