"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.299","0.000","-269.100","13993.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.731","0.000","-285.900","13998.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.161","0.010","-278.400","13996.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.566","0.018","-307.200","13997.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","7.931","0.023","-269.100","13998.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.399","0.028","-315.300","13994.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.758","0.032","-275.700","13999.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.104","0.037","-226.500","13994.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.307","0.041","-123.300","14002.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.607","0.045","-125.100","13994.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.954","0.048","-208.500","14003.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.973","0.051","-158.100","13995.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.171","0.055","-143.400","14002.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.346","0.058","-156.600","13995.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.501","0.061","-159.900","14001.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.551","0.064","-131.100","13989.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.685","0.066","-145.200","13958.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.713","0.069","-126.300","13903.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.778","0.072","-153.000","13843.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.753","0.076","-123.300","13784.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.742","0.080","-127.200","13715.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.734","0.084","-132.300","13654.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.685","0.087","-166.500","13578.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.669","0.090","-171.900","13514.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.546","0.093","-144.000","13431.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.510","0.096","-144.900","13358.1","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.364","0.099","-138.600","13273.9","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.257","0.102","-135.900","13197.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.089","0.105","-113.400","13123.1","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.004","0.107","-147.300","13048.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.769","0.110","-85.800","12987.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.687","0.112","-127.500","12919.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.490","0.115","-104.700","12870.4","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.305","0.117","-94.500","12813.1","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.198","0.120","-103.500","12767.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.982","0.123","-83.100","12718.7","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.887","0.125","-114.000","12668.5","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.636","0.128","-61.200","12625.9","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.611","0.131","-114.600","12569.6","7.000","7.000","10.833","5.833","0.076"
