"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.821","0.000","-278.100","13994.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.146","0.000","-306.900","14000.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.524","0.010","-248.700","13992.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.099","0.018","-304.500","14000.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.373","0.023","-308.400","13992.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.850","0.028","-273.300","14000.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.261","0.033","-295.800","13994.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.541","0.037","-242.700","14000.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.677","0.041","-103.500","13996.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.065","0.045","-169.500","14000.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.192","0.048","-190.500","13998.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.326","0.052","-171.000","13998.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.462","0.055","-142.500","14000.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.645","0.058","-180.000","13997.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.654","0.061","-144.900","14002.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.773","0.064","-158.700","13988.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.760","0.067","-148.500","13962.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.806","0.069","-126.900","13902.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.816","0.073","-158.700","13852.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.745","0.077","-124.500","13785.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.721","0.081","-134.700","13727.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.659","0.085","-117.600","13657.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.686","0.089","-187.200","13592.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.560","0.093","-156.300","13521.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.545","0.096","-168.300","13445.7","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.393","0.100","-128.700","13370.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.392","0.103","-156.000","13285.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.185","0.106","-135.300","13213.5","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.134","0.109","-126.000","13130.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.964","0.112","-147.300","13064.5","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.796","0.115","-94.800","12991.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.758","0.118","-144.600","12929.8","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.505","0.121","-102.300","12871.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.462","0.124","-118.500","12813.4","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.234","0.127","-96.900","12769.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.205","0.130","-110.100","12713.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.956","0.133","-113.700","12672.8","7.000","7.000","11.056","5.922","0.072"
