"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.574","0.000","-295.800","13992.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.993","0.000","-315.900","13999.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.301","0.010","-306.600","13991.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.586","0.018","-318.300","13999.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","7.995","0.023","-268.800","13993.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.367","0.028","-364.500","14001.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.630","0.033","-245.700","13993.8","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.022","0.037","-244.200","14000.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.090","0.041","-111.900","13996.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.470","0.045","-150.300","14000.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.643","0.049","-193.800","13998.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.736","0.053","-169.500","13998.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.900","0.056","-139.800","14000.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.081","0.060","-182.400","13996.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.110","0.063","-145.800","14002.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.248","0.066","-144.000","13988.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.310","0.069","-151.800","13961.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.392","0.072","-121.500","13902.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.463","0.076","-160.800","13851.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.472","0.081","-97.200","13784.2","6.000","6.000","12.250","6.500","0.038"
