"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.383","0.000","-273.300","13993.1","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.815","0.000","-279.600","13998.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.178","0.010","-268.500","13993.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.716","0.018","-281.400","14000.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.119","0.023","-315.000","13993.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.491","0.028","-260.700","14001.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.969","0.033","-300.900","13993.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.303","0.037","-239.700","14001.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.413","0.041","-96.300","13995.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.819","0.044","-155.400","14001.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.066","0.048","-192.600","13996.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.176","0.051","-172.500","14000.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.303","0.054","-127.500","13998.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.552","0.057","-195.000","13998.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.573","0.060","-131.700","14000.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.677","0.063","-165.000","13990.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.725","0.066","-131.400","13960.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.776","0.068","-153.300","13901.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.765","0.072","-129.300","13850.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.730","0.076","-148.200","13783.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.677","0.079","-123.300","13727.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.605","0.083","-131.400","13654.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.591","0.086","-172.200","13592.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.472","0.090","-163.500","13519.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.407","0.093","-166.800","13447.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.236","0.096","-110.100","13370.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.218","0.099","-175.500","13288.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","9.978","0.102","-103.800","13214.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.908","0.105","-146.700","13131.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.723","0.108","-120.300","13064.9","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.536","0.111","-110.100","12989.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.444","0.114","-132.000","12930.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.186","0.117","-93.900","12869.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.097","0.120","-135.000","12816.0","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","8.818","0.123","-67.500","12769.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.797","0.126","-142.200","12715.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.511","0.129","-80.100","12675.1","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.396","0.132","-92.700","12621.8","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.306","0.135","-122.700","12577.8","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.045","0.139","-69.300","12526.2","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.032","0.142","-121.500","12471.8","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","7.789","0.146","-69.300","12421.5","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.792","0.149","-127.200","12356.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.556","0.153","-80.700","12301.3","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.497","0.156","-93.300","12233.4","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.412","0.160","-126.900","12166.5","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.200","0.163","-61.200","12101.5","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.244","0.167","-133.800","12025.7","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.020","0.170","-81.000","11961.4","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.008","0.174","-92.400","11885.5","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","6.903","0.177","-117.600","11813.5","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","6.788","0.181","-66.900","11745.0","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.807","0.184","-127.800","11666.9","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.632","0.188","-87.000","11601.4","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.613","0.191","-86.700","11528.8","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.545","0.195","-129.000","11458.4","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.392","0.198","-65.100","11397.1","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.415","0.201","-111.600","11327.0","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.297","0.204","-107.400","11268.5","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.186","0.207","-56.100","11208.2","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.231","0.211","-129.900","11143.1","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.038","0.214","-71.100","11089.2","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.040","0.218","-70.200","11024.8","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.026","0.222","-138.000","10961.3","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.856","0.226","-65.700","10903.1","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.922","0.230","-105.300","10833.3","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.853","0.234","-130.200","10767.4","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.774","0.238","-73.800","10702.0","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.835","0.242","-133.500","10625.9","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.742","0.247","-117.900","10558.5","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.721","0.251","-91.800","10486.7","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.775","0.256","-157.800","10408.8","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.671","0.260","-110.100","10340.6","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.693","0.265","-106.200","10267.0","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.736","0.270","-167.700","10189.1","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.630","0.275","-102.900","10121.6","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.698","0.279","-121.500","10047.5","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.726","0.284","-166.200","9971.2","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.652","0.289","-108.900","9903.7","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.701","0.294","-129.300","9830.0","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.739","0.299","-178.200","9752.8","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.633","0.303","-113.400","9684.1","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.687","0.308","-129.300","9609.8","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.758","0.313","-184.500","9531.2","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.628","0.318","-115.500","9460.0","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.683","0.323","-122.700","9385.6","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.755","0.328","-180.600","9304.5","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.633","0.333","-128.100","9229.5","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.658","0.337","-114.300","9155.0","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.782","0.342","-186.300","9072.8","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.665","0.347","-136.200","8993.6","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.663","0.352","-111.300","8919.0","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.793","0.357","-173.100","8837.0","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.719","0.362","-155.400","8753.8","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.674","0.367","-115.500","8677.4","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.783","0.372","-160.800","8596.3","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.773","0.377","-162.600","8510.4","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.682","0.382","-130.200","8428.2","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.742","0.387","-145.800","8348.5","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.775","0.391","-152.400","8262.2","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.741","0.396","-151.200","8173.7","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.729","0.401","-141.900","8091.1","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.748","0.406","-141.600","8006.4","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.763","0.411","-151.200","7916.5","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.750","0.416","-153.300","7826.8","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.719","0.421","-149.100","7741.6","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.732","0.426","-132.900","7652.8","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.781","0.431","-159.300","7560.1","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.752","0.436","-158.700","7469.6","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.694","0.441","-133.200","7389.7","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.750","0.446","-138.000","7316.0","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.802","0.451","-170.700","7227.3","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.723","0.456","-147.600","7148.9","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.701","0.461","-131.400","7077.7","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.773","0.465","-148.800","7003.6","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.786","0.470","-162.900","6930.7","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.742","0.475","-147.000","6861.3","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.739","0.481","-142.200","6794.8","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.756","0.485","-148.800","6725.5","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.772","0.490","-145.500","6652.0","8.000","9.000","6.448","4.296","0.238"
