"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.675","0.000","-313.200","13998.1","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.072","0.000","-279.000","13995.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.521","0.010","-291.900","13997.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.937","0.018","-275.400","13997.2","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.323","0.023","-327.000","13995.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.742","0.028","-268.500","13999.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.134","0.032","-308.400","13995.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.266","0.037","-219.900","14001.3","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.606","0.041","-117.900","13994.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.891","0.044","-139.200","14002.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.037","0.048","-196.200","13994.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.111","0.051","-173.100","14003.1","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.383","0.055","-129.900","13994.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.439","0.058","-184.800","14002.0","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.567","0.061","-140.400","13996.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.582","0.064","-173.100","13994.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.676","0.067","-119.100","13957.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.715","0.069","-155.700","13905.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.691","0.073","-135.600","13850.2","6.000","6.000","12.188","6.500","0.036"
