"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.441","0.000","-262.500","13998.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.933","0.000","-262.500","13995.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.407","0.010","-343.800","13999.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.604","0.018","-277.500","13996.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.115","0.023","-287.700","13996.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.517","0.028","-320.400","13998.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.858","0.032","-268.200","13994.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.265","0.037","-239.400","14000.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.388","0.041","-122.400","13994.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.729","0.044","-110.400","14002.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.052","0.048","-220.800","13995.4","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.118","0.051","-173.100","14003.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.223","0.055","-112.800","13995.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.501","0.058","-186.000","14002.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.555","0.061","-154.800","13995.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.634","0.063","-154.200","13994.1","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.675","0.066","-111.000","13956.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.826","0.069","-170.100","13906.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.755","0.072","-126.000","13850.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.752","0.076","-130.500","13789.5","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.760","0.080","-117.600","13729.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.746","0.084","-151.200","13659.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.659","0.087","-139.200","13598.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.665","0.091","-172.200","13521.8","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.610","0.094","-166.800","13454.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.459","0.097","-116.100","13370.7","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.460","0.100","-154.800","13295.6","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.271","0.103","-118.500","13213.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.193","0.105","-149.100","13136.9","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.966","0.108","-95.100","13064.7","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.925","0.111","-130.200","12990.4","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.723","0.113","-105.600","12930.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.583","0.116","-109.800","12863.0","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.424","0.118","-96.000","12814.2","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.273","0.121","-94.500","12758.7","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.158","0.124","-113.400","12711.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.909","0.126","-69.000","12665.5","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.866","0.129","-113.700","12613.8","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.623","0.132","-71.700","12572.0","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.559","0.134","-101.100","12515.4","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.349","0.137","-81.000","12469.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.252","0.140","-76.200","12411.9","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.149","0.143","-110.400","12353.0","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.921","0.146","-47.700","12296.8","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.935","0.148","-109.500","12226.4","7.000","7.000","10.167","5.567","0.088"
