"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.648","0.000","-280.200","13995.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.070","0.000","-297.600","13994.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.469","0.010","-271.500","13997.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.954","0.018","-288.600","13993.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.379","0.023","-295.500","14000.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.792","0.028","-320.100","13994.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.154","0.032","-272.100","14001.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.469","0.037","-227.400","13993.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.656","0.041","-129.900","14002.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.013","0.044","-132.300","13994.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.227","0.048","-208.800","14002.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.304","0.051","-152.100","13996.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.497","0.054","-173.400","14002.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.596","0.057","-145.200","13998.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.748","0.060","-165.300","14000.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.760","0.063","-144.900","13991.1","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.835","0.066","-161.400","13955.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.811","0.068","-116.400","13905.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.856","0.072","-166.800","13842.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.723","0.076","-126.900","13784.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.747","0.080","-124.800","13713.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.667","0.083","-135.900","13654.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.657","0.087","-157.800","13578.2","6.000","6.000","12.438","6.500","0.044"
