"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.596","0.000","-295.500","13993.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.056","0.000","-325.800","13999.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.331","0.010","-281.400","13993.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.746","0.018","-279.600","14000.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.186","0.023","-315.300","13993.4","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.559","0.028","-311.700","14001.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.849","0.033","-276.000","13993.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.233","0.037","-266.100","14001.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.282","0.041","-86.100","13994.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.675","0.045","-181.500","14000.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.862","0.048","-177.300","13996.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.980","0.052","-188.100","14000.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.054","0.055","-124.800","13998.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.295","0.059","-193.200","13998.0","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.312","0.062","-140.700","14000.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.403","0.065","-151.200","13988.4","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.476","0.068","-146.700","13959.8","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.504","0.071","-131.700","13900.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.566","0.074","-139.200","13849.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.533","0.079","-127.800","13782.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.589","0.083","-134.100","13726.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.525","0.087","-106.200","13653.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.617","0.091","-179.700","13590.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.575","0.095","-161.100","13515.9","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.593","0.098","-175.800","13443.4","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.469","0.102","-111.900","13366.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.544","0.105","-178.500","13283.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.370","0.108","-124.500","13209.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.286","0.111","-139.500","13126.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.204","0.114","-145.800","13059.7","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.004","0.117","-100.500","12984.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.977","0.119","-149.100","12926.0","7.000","7.000","11.611","6.144","0.062"
