"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.661","0.000","-264.300","13992.1","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.105","0.000","-324.900","13999.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.434","0.010","-266.700","13993.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.911","0.018","-320.400","13999.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.217","0.023","-284.700","13995.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.686","0.028","-307.200","13999.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.052","0.033","-308.100","13997.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.304","0.037","-244.800","13998.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.446","0.041","-85.800","13998.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.854","0.045","-193.200","13996.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.973","0.048","-179.100","14000.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.053","0.052","-177.000","13996.4","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.229","0.055","-136.200","14003.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.399","0.058","-195.300","13996.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.392","0.061","-136.800","14003.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.530","0.064","-141.300","13987.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.623","0.067","-165.300","13960.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.593","0.070","-116.700","13900.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.684","0.074","-152.700","13846.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.631","0.078","-117.000","13781.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.657","0.082","-154.500","13719.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.560","0.086","-100.500","13653.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.631","0.090","-189.300","13582.9","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.538","0.094","-159.900","13515.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.513","0.097","-177.600","13434.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.400","0.101","-120.600","13361.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.393","0.104","-160.800","13274.6","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.217","0.107","-142.200","13202.7","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.112","0.110","-121.800","13122.5","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.037","0.113","-155.100","13054.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.813","0.116","-90.300","12987.8","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.789","0.119","-149.400","12925.1","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.531","0.122","-93.600","12873.9","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.485","0.125","-126.300","12814.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.257","0.127","-100.800","12771.9","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.166","0.130","-100.500","12718.4","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.985","0.133","-119.700","12674.3","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.814","0.136","-58.800","12625.8","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.788","0.139","-139.500","12573.4","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.480","0.142","-60.000","12528.1","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.521","0.145","-105.900","12467.5","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.267","0.148","-101.400","12417.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.182","0.151","-69.300","12353.9","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.055","0.154","-113.100","12291.4","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.894","0.157","-62.100","12229.5","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.868","0.160","-118.500","12156.3","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.617","0.163","-69.900","12093.5","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.645","0.166","-82.200","12019.0","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.455","0.168","-107.400","11948.8","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.350","0.171","-55.200","11879.7","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.322","0.174","-110.100","11801.7","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.138","0.177","-79.200","11735.7","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.108","0.180","-72.300","11660.4","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.984","0.183","-106.200","11589.1","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.869","0.186","-66.600","11523.6","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.817","0.188","-83.700","11449.5","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.682","0.191","-95.700","11389.0","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.606","0.194","-55.500","11324.1","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.542","0.196","-102.900","11258.8","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.389","0.199","-62.100","11203.3","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.365","0.202","-72.900","11138.3","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.242","0.205","-93.600","11078.2","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.125","0.208","-54.000","11020.1","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.137","0.212","-93.300","10951.7","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.974","0.215","-96.900","10891.8","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.958","0.219","-64.500","10825.6","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.925","0.223","-117.600","10753.4","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.809","0.227","-90.000","10689.6","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.816","0.231","-88.200","10616.3","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.793","0.235","-129.900","10541.7","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.698","0.240","-93.900","10474.4","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.723","0.244","-105.900","10397.6","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.697","0.249","-146.100","10323.1","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.621","0.253","-96.600","10254.5","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.692","0.258","-130.800","10177.6","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.636","0.263","-138.900","10103.8","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.605","0.268","-107.700","10035.7","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.656","0.273","-138.600","9958.7","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.629","0.277","-141.300","9885.3","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.591","0.282","-119.400","9817.2","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.646","0.287","-142.500","9740.1","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.621","0.292","-151.500","9665.4","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.568","0.297","-122.100","9596.1","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.641","0.302","-143.700","9518.2","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.622","0.307","-151.800","9440.7","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.589","0.312","-133.800","9369.4","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.640","0.317","-140.100","9290.2","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.644","0.322","-162.900","9209.4","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.584","0.327","-136.800","9136.0","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.643","0.332","-141.600","9057.6","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.646","0.337","-165.900","8973.7","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.587","0.342","-136.200","8896.7","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.636","0.347","-143.700","8819.6","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.648","0.352","-166.800","8735.3","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.599","0.357","-142.200","8653.2","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.622","0.362","-144.300","8575.8","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.643","0.367","-160.500","8492.1","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.608","0.372","-149.100","8405.4","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.619","0.378","-147.600","8323.9","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.624","0.383","-157.800","8242.1","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.617","0.388","-149.400","8153.4","8.000","9.000","6.471","4.341","0.200"
