"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.583","0.000","-241.500","13992.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.029","0.000","-337.800","13999.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.307","0.010","-276.000","13994.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.765","0.018","-310.800","13998.0","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.113","0.023","-281.100","13996.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.564","0.028","-321.300","13995.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.823","0.033","-296.100","13997.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.175","0.037","-208.800","13994.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.328","0.041","-136.500","14000.2","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.672","0.045","-136.800","13994.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.840","0.048","-209.100","14002.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.873","0.052","-165.300","13995.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.067","0.055","-148.800","14003.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.202","0.059","-179.100","13995.0","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.267","0.062","-150.000","14002.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.357","0.065","-140.700","13987.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.455","0.068","-151.200","13959.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.469","0.071","-128.700","13902.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.546","0.075","-133.500","13845.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.557","0.079","-127.200","13784.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.596","0.083","-136.800","13718.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.563","0.087","-108.000","13654.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.672","0.091","-173.400","13581.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.613","0.095","-180.600","13516.9","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.601","0.099","-151.500","13435.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.573","0.102","-137.400","13362.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.561","0.105","-153.900","13276.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.408","0.108","-149.700","13203.5","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.348","0.111","-112.800","13126.5","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.261","0.114","-160.800","13054.5","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.052","0.116","-95.400","12990.4","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.040","0.119","-133.200","12923.8","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.772","0.122","-111.300","12874.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.719","0.124","-96.900","12815.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.509","0.126","-116.100","12772.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.384","0.129","-85.800","12721.5","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.218","0.131","-114.000","12673.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.036","0.134","-64.800","12629.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.986","0.136","-113.400","12573.9","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.678","0.139","-77.400","12529.1","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.685","0.141","-74.400","12469.3","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.434","0.144","-107.100","12416.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.330","0.146","-58.800","12355.6","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.208","0.149","-97.800","12289.2","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.022","0.152","-66.900","12229.6","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.971","0.154","-86.400","12155.0","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.746","0.157","-78.300","12091.1","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.717","0.160","-65.700","12018.6","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.546","0.162","-92.700","11945.2","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.431","0.165","-63.900","11878.7","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.357","0.167","-83.700","11800.0","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.192","0.170","-78.600","11732.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.125","0.173","-66.000","11659.8","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.999","0.175","-86.100","11585.5","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.886","0.178","-72.300","11521.8","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.807","0.180","-69.000","11448.5","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.684","0.183","-88.200","11385.2","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.589","0.185","-56.700","11323.6","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.527","0.188","-78.900","11256.5","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.385","0.190","-72.300","11201.6","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.325","0.193","-59.100","11138.6","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.221","0.196","-81.900","11075.6","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.105","0.199","-68.100","11019.5","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.084","0.203","-76.500","10951.9","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.953","0.206","-96.000","10888.9","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.914","0.210","-73.200","10826.2","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.863","0.214","-92.400","10752.6","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.791","0.218","-98.100","10687.6","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.769","0.222","-89.700","10617.3","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.744","0.226","-108.000","10540.7","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.685","0.230","-107.100","10473.6","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.682","0.235","-101.400","10399.3","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.676","0.239","-125.400","10322.2","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.638","0.244","-110.100","10254.6","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.671","0.248","-117.600","10179.2","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.657","0.253","-126.900","10103.5","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.652","0.258","-123.000","10036.4","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.654","0.263","-129.900","9961.4","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.669","0.267","-124.500","9886.0","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.662","0.272","-136.500","9818.9","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.666","0.277","-129.600","9743.9","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.698","0.281","-131.100","9667.3","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.673","0.286","-140.100","9598.5","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.684","0.291","-136.500","9522.6","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.711","0.296","-133.200","9443.7","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.705","0.300","-145.500","9372.6","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.689","0.305","-139.200","9296.6","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.712","0.310","-132.600","9215.2","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.696","0.315","-141.900","9140.7","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.697","0.319","-142.500","9065.1","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.715","0.324","-139.200","8982.1","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.726","0.329","-134.400","8902.8","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.727","0.334","-142.500","8827.3","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.734","0.338","-139.500","8744.7","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.753","0.343","-135.900","8660.9","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.760","0.348","-144.600","8583.8","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.756","0.352","-146.700","8502.3","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.758","0.357","-137.100","8415.7","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.784","0.362","-142.500","8332.8","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.772","0.367","-144.600","8252.3","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.776","0.371","-139.200","8165.3","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.794","0.376","-141.000","8076.4","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.801","0.381","-140.400","7992.4","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.790","0.385","-148.800","7907.9","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.774","0.390","-138.300","7816.7","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.785","0.395","-133.800","7725.6","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.791","0.399","-150.000","7639.1","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.761","0.404","-146.100","7551.0","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.755","0.409","-133.800","7458.8","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.794","0.414","-136.800","7367.4","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.775","0.418","-156.000","7281.2","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.738","0.423","-139.200","7192.7","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.751","0.428","-135.900","7100.1","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.771","0.433","-146.100","7007.6","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.750","0.437","-145.500","6919.2","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.741","0.442","-144.300","6831.4","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.738","0.447","-136.800","6739.0","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.748","0.452","-140.100","6645.7","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.759","0.457","-149.400","6555.0","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.744","0.461","-146.700","6467.1","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.742","0.466","-141.000","6376.8","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.761","0.471","-139.200","6290.2","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.780","0.476","-145.500","6210.3","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.772","0.481","-146.700","6133.8","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.774","0.486","-151.500","6057.5","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.760","0.491","-141.600","5978.4","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.772","0.495","-143.400","5901.2","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.774","0.500","-149.100","5825.3","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.760","0.505","-147.000","5751.5","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.762","0.510","-144.300","5676.5","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.765","0.515","-148.200","5597.3","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.756","0.520","-152.100","5518.8","9.000","9.000","6.434","4.268","0.262"
"132","2","6.000","5.739","0.525","-139.800","5440.0","9.000","9.000","6.433","4.266","0.264"
"133","2","6.000","5.755","0.530","-149.400","5362.0","9.000","9.000","6.432","4.264","0.266"
"134","2","6.000","5.734","0.535","-151.500","5284.1","9.000","9.000","6.431","4.261","0.268"
"135","2","6.000","5.733","0.540","-148.200","5203.5","9.000","9.000","6.429","4.259","0.270"
"136","2","6.000","5.726","0.545","-144.900","5120.7","9.000","9.000","6.428","4.256","0.272"
"137","2","6.000","5.727","0.549","-146.400","5038.5","9.000","9.000","6.427","4.254","0.274"
"138","2","6.000","5.725","0.554","-141.000","4957.1","9.000","9.000","6.426","4.252","0.276"
"139","2","6.000","5.732","0.560","-153.600","4876.1","9.000","9.000","6.425","4.249","0.278"
"140","2","6.000","5.723","0.565","-152.100","4796.2","9.000","9.000","6.424","4.247","0.280"
"141","2","6.000","5.717","0.570","-150.000","4714.2","9.000","9.000","6.422","4.245","0.282"
"142","2","6.000","5.715","0.575","-153.900","4630.3","9.000","9.000","6.421","4.242","0.284"
"143","2","6.000","5.704","0.580","-145.200","4547.7","9.000","9.000","6.420","4.240","0.286"
"144","2","6.000","5.721","0.585","-147.000","4465.1","9.000","9.000","6.419","4.238","0.288"
"145","2","6.000","5.710","0.590","-149.700","4383.2","9.000","9.000","6.418","4.235","0.290"
"146","2","6.000","5.706","0.595","-155.400","4301.6","9.000","9.000","6.416","4.233","0.292"
"147","2","6.000","5.706","0.600","-156.000","4219.1","9.000","9.000","6.415","4.231","0.294"
"148","2","6.000","5.682","0.605","-161.100","4136.2","9.000","9.000","6.414","4.228","0.296"
"149","2","6.000","5.635","0.610","-158.100","4051.9","9.000","9.000","6.413","4.226","0.298"
"150","2","6.000","5.635","0.615","-149.400","3968.8","9.000","9.000","6.412","4.224","0.300"
"151","2","6.000","5.625","0.621","-157.500","3885.8","9.000","9.000","6.411","4.221","0.302"
"152","2","6.000","5.602","0.626","-148.500","3803.1","9.000","9.000","6.409","4.219","0.304"
"153","2","6.000","5.589","0.631","-157.200","3720.3","9.000","9.000","6.408","4.216","0.306"
"154","2","6.000","5.572","0.637","-158.700","3637.9","9.000","9.000","6.407","4.214","0.308"
"155","2","6.000","5.551","0.642","-165.900","3554.3","9.000","9.000","6.406","4.212","0.310"
"156","2","6.000","5.507","0.647","-168.000","3470.5","9.000","9.000","6.405","4.209","0.312"
"157","2","6.000","5.488","0.653","-159.900","3386.1","9.000","9.000","6.404","4.207","0.314"
"158","2","6.000","5.463","0.658","-159.300","3302.8","9.000","9.000","6.402","4.205","0.316"
"159","2","6.000","5.441","0.664","-166.500","3218.8","9.000","9.000","6.401","4.202","0.318"
"160","2","6.000","5.406","0.669","-165.900","3136.0","9.000","10.000","6.400","4.200","0.320"
"161","2","6.000","5.375","0.675","-166.800","3052.8","9.000","10.000","6.400","4.200","0.322"
"162","2","6.000","5.337","0.681","-171.900","2970.4","9.000","10.000","6.400","4.200","0.324"
"163","2","6.000","5.285","0.687","-176.400","2888.0","9.000","10.000","6.400","4.200","0.326"
"164","2","6.000","5.245","0.693","-179.700","2804.1","9.000","10.000","6.400","4.200","0.328"
"165","2","6.000","5.203","0.699","-178.500","2721.0","9.000","10.000","6.400","4.200","0.330"
"166","2","6.000","5.174","0.705","-178.200","2636.5","10.000","10.000","6.400","4.200","0.332"
"167","2","6.000","5.140","0.711","-176.100","2552.1","10.000","10.000","6.400","4.200","0.334"
"168","2","6.000","5.123","0.717","-176.700","2468.8","10.000","10.000","6.400","4.200","0.336"
"169","2","6.000","5.101","0.724","-177.300","2384.4","10.000","10.000","6.400","4.200","0.338"
"170","2","6.000","5.084","0.730","-182.700","2300.7","10.000","10.000","6.400","4.200","0.340"
"171","2","6.000","5.049","0.737","-186.000","2217.2","10.000","10.000","6.400","4.200","0.342"
"172","2","6.000","5.006","0.743","-196.800","2133.1","10.000","10.000","6.400","4.200","0.344"
"173","2","6.000","4.965","0.750","-198.600","2049.2","10.000","10.000","6.400","4.200","0.346"
"174","3","6.160","4.921","0.757","-204.300","1967.1","11.000","11.000","6.400","4.200","0.348"
"175","3","6.320","4.865","0.764","-203.100","1884.0","11.000","11.000","6.317","4.000","0.350"
"176","3","6.480","4.814","0.771","-211.200","1799.2","11.000","11.000","6.233","3.800","0.352"
"177","3","6.640","4.761","0.780","-212.100","1714.9","11.000","11.000","6.150","3.600","0.354"
"178","3","6.800","4.658","0.793","-220.500","1631.9","11.000","11.000","6.067","3.400","0.356"
"179","3","6.960","4.546","0.810","-231.600","1546.8","11.000","11.000","5.983","3.200","0.358"
"180","3","7.120","4.379","0.829","-244.200","1460.2","12.000","12.000","5.900","3.000","0.360"
"181","3","7.280","4.401","0.849","-300.000","1375.3","12.000","12.000","5.800","2.833","0.362"
"182","3","7.440","4.540","0.869","-507.000","1289.3","12.000","12.000","5.700","2.667","0.364"
"183","3","7.600","4.427","0.889","-663.900","1204.0","12.000","13.000","5.600","2.500","0.366"
"184","3","7.760","4.169","0.909","-654.000","1118.1","12.000","13.000","5.417","2.417","0.368"
"185","3","7.920","4.028","0.929","-613.200","1034.6","13.000","13.000","5.233","2.333","0.370"
"186","3","8.080","3.882","0.949","-638.100","952.3","13.000","13.000","5.050","2.250","0.372"
"187","3","8.240","3.617","0.969","-661.800","869.0","13.000","13.000","4.867","2.167","0.374"
"188","3","8.400","3.292","0.989","-612.600","786.8","13.000","13.000","4.683","2.083","0.376"
"189","3","8.560","3.155","1.009","-580.800","706.4","13.000","14.000","4.500","2.000","0.378"
"190","3","8.720","3.098","1.029","-593.100","627.0","13.000","14.000","4.750","2.000","0.380"
"191","3","8.880","3.006","1.049","-583.200","547.3","13.000","14.000","5.000","2.000","0.382"
"192","3","9.040","2.983","1.069","-545.400","467.3","13.000","14.000","5.250","2.000","0.384"
"193","3","9.200","3.078","1.089","-537.000","386.7","14.000","15.000","5.500","2.000","0.386"
"194","4","10.000","3.215","1.109","-537.900","306.1","16.000","16.000","5.500","2.000","0.388"
"195","4","10.000","3.393","1.129","-513.300","225.1","16.000","16.000","6.083","2.333","0.390"
"196","4","10.000","3.703","1.149","-486.000","144.8","16.000","16.000","6.667","2.667","0.392"
"197","4","10.000","4.136","1.167","-474.300","75.9","16.000","16.000","7.250","3.000","0.394"
"198","4","10.000","4.679","1.181","-461.100","40.0","16.000","16.000","7.833","3.333","0.396"
"199","4","10.000","5.296","1.192","-457.200","36.3","16.000","16.000","8.417","3.667","0.398"
"200","4","10.000","5.936","1.201","-478.500","36.0","16.000","17.000","9.000","4.000","0.400"
"201","4","10.000","6.345","1.209","-438.300","29.7","16.000","17.000","9.188","4.375","0.402"
"202","4","10.000","6.549","1.217","-271.800","24.2","16.000","17.000","9.375","4.750","0.404"
"203","4","10.000","7.007","1.224","-180.000","20.8","16.000","17.000","9.563","5.125","0.406"
"204","4","10.000","7.385","1.230","-255.600","18.0","16.000","17.000","9.750","5.500","0.408"
"205","4","10.000","7.556","1.235","-254.700","15.5","16.000","17.000","9.938","5.875","0.410"
"206","4","10.000","7.783","1.240","-203.700","13.7","16.000","17.000","10.125","6.250","0.412"
"207","4","10.000","8.068","1.245","-191.100","12.2","16.000","17.000","10.313","6.625","0.414"
