"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.660","0.000","-294.300","14000.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.019","0.000","-282.600","13992.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.467","0.010","-312.900","14001.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.800","0.018","-274.500","13993.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.280","0.023","-292.500","13999.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.668","0.028","-305.400","13995.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.071","0.033","-292.500","14000.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.363","0.037","-229.500","13998.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.512","0.041","-123.000","13998.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.859","0.045","-130.200","14000.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.122","0.048","-237.600","13996.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.149","0.052","-118.800","14001.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.376","0.055","-178.800","13995.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.556","0.058","-149.700","14003.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.632","0.061","-156.600","13995.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.734","0.064","-145.500","13995.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.782","0.067","-153.300","13953.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.823","0.070","-127.800","13906.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.835","0.073","-149.100","13844.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.834","0.077","-149.700","13787.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.724","0.081","-111.000","13721.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.732","0.085","-154.500","13655.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.639","0.088","-151.500","13587.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.628","0.092","-195.300","13512.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.481","0.095","-132.000","13441.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.409","0.099","-159.900","13355.8","6.000","7.000","12.278","6.411","0.050"
