"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.469","0.000","-310.200","13997.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.864","0.000","-267.900","13994.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.354","0.010","-290.100","13997.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.748","0.018","-288.600","13996.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.209","0.023","-287.100","13995.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.609","0.028","-281.400","13998.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.989","0.032","-312.900","13995.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.113","0.037","-212.400","14000.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.443","0.041","-127.800","13994.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.754","0.044","-141.600","14002.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.906","0.048","-202.800","13994.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.019","0.051","-159.300","14003.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.267","0.055","-145.800","13995.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.338","0.058","-176.100","14002.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.465","0.061","-142.500","13995.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.516","0.064","-167.700","13994.1","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.554","0.066","-130.500","13956.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.613","0.069","-148.500","13905.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.591","0.073","-135.000","13850.0","6.000","6.000","12.188","6.500","0.036"
