"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.751","0.000","-273.300","13995.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.228","0.000","-311.100","13995.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.546","0.010","-254.400","13998.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.099","0.018","-294.000","13994.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.456","0.023","-321.000","13999.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.857","0.028","-280.200","13994.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.242","0.032","-303.600","14001.6","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.507","0.037","-225.900","13994.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.686","0.041","-137.400","14002.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.974","0.044","-128.100","13994.4","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.221","0.048","-221.700","14002.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.224","0.051","-152.700","13996.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.457","0.054","-156.300","14002.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.556","0.057","-149.700","13997.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.692","0.060","-170.700","14000.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.701","0.063","-132.900","13991.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.809","0.066","-154.200","13955.8","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.794","0.069","-125.400","13905.2","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.845","0.072","-160.500","13842.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.719","0.077","-131.400","13785.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.746","0.081","-117.900","13714.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.661","0.084","-153.300","13655.1","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.628","0.088","-148.500","13578.7","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.571","0.092","-198.600","13512.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.434","0.095","-133.200","13430.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.403","0.099","-157.500","13353.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.254","0.102","-129.300","13273.4","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.171","0.105","-158.400","13193.9","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.964","0.108","-109.800","13124.0","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.929","0.111","-140.700","13047.7","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.684","0.114","-118.500","12988.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.640","0.117","-103.200","12920.1","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.455","0.121","-146.400","12869.3","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.284","0.124","-80.100","12814.8","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.210","0.127","-133.200","12765.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.980","0.130","-89.100","12721.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.928","0.133","-119.100","12668.6","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.671","0.136","-89.700","12627.4","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.682","0.139","-94.500","12571.7","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.425","0.142","-126.300","12524.5","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.332","0.145","-56.100","12469.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.269","0.148","-130.800","12409.6","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.025","0.152","-76.800","12355.0","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.036","0.155","-100.500","12284.9","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.795","0.158","-103.800","12225.1","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.777","0.161","-78.000","12153.9","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.596","0.164","-120.900","12083.3","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.482","0.168","-69.600","12017.2","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.425","0.171","-112.200","11938.7","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.215","0.174","-91.200","11873.0","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.207","0.177","-76.800","11797.3","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.054","0.180","-113.700","11723.4","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.953","0.183","-72.600","11656.5","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.906","0.186","-96.300","11578.7","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.744","0.189","-104.700","11514.1","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.676","0.192","-64.800","11444.9","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.602","0.195","-109.800","11376.1","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.453","0.198","-83.700","11318.6","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.415","0.201","-77.400","11252.0","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.295","0.204","-107.100","11192.9","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.183","0.208","-65.700","11135.7","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.153","0.211","-87.300","11069.2","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.005","0.215","-100.800","11013.1","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","5.976","0.219","-69.900","10949.5","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.904","0.223","-119.700","10881.2","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.799","0.227","-86.100","10820.9","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.804","0.231","-95.700","10749.8","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.720","0.235","-129.000","10678.5","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.670","0.240","-95.700","10612.8","8.000","8.000","7.340","4.652","0.136"
