"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.402","0.000","-309.300","14000.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.751","0.000","-276.900","13992.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.204","0.010","-300.600","13999.6","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.582","0.018","-297.600","13993.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","7.957","0.023","-310.500","13999.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.375","0.028","-270.900","13995.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.726","0.033","-340.200","13999.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.870","0.037","-196.200","13997.3","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.177","0.041","-123.900","13997.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.413","0.045","-157.500","13999.4","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.607","0.049","-187.500","13996.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.671","0.052","-166.500","14001.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.942","0.056","-144.600","13995.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.018","0.059","-176.400","14002.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.171","0.062","-130.800","13995.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.264","0.065","-166.800","13995.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.296","0.068","-130.800","13953.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.404","0.071","-138.600","13906.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.408","0.075","-145.200","13842.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.426","0.079","-144.000","13785.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.379","0.084","-120.300","13719.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.444","0.088","-137.100","13653.0","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.418","0.092","-164.400","13584.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.429","0.096","-192.300","13508.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.330","0.099","-142.800","13437.7","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.365","0.103","-151.800","13351.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.234","0.106","-154.800","13279.0","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.167","0.109","-137.400","13193.4","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.065","0.112","-141.600","13123.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.953","0.115","-134.700","13048.0","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.811","0.118","-132.000","12981.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.696","0.121","-104.400","12920.6","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.566","0.124","-143.400","12859.7","7.000","7.000","11.500","6.100","0.064"
