"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.737","0.000","-273.000","13992.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.160","0.000","-273.300","13999.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.609","0.010","-285.600","13995.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.959","0.018","-306.600","13998.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.411","0.023","-280.800","13997.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.855","0.028","-301.800","13996.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.141","0.032","-314.400","13998.6","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.354","0.037","-219.000","13995.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.607","0.041","-114.900","14001.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.944","0.044","-154.200","13996.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.970","0.048","-200.700","14003.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.152","0.051","-159.000","13994.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.325","0.055","-139.200","14003.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.445","0.058","-177.900","13995.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.492","0.061","-147.300","14002.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.604","0.064","-150.600","13988.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.592","0.067","-151.200","13959.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.656","0.070","-132.600","13902.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.631","0.073","-151.500","13845.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.581","0.078","-135.300","13784.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.571","0.082","-126.900","13718.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.522","0.086","-134.700","13655.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.524","0.090","-174.000","13581.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.427","0.094","-179.100","13516.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.382","0.097","-159.600","13434.4","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.285","0.101","-141.000","13362.1","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.219","0.104","-154.500","13277.3","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.051","0.108","-144.000","13203.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.005","0.111","-127.500","13127.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.810","0.114","-152.100","13055.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.703","0.117","-108.900","12992.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.599","0.121","-137.400","12927.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.402","0.124","-118.200","12878.7","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.341","0.127","-112.800","12820.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.143","0.130","-114.000","12776.7","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.086","0.133","-107.700","12726.4","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.851","0.136","-117.000","12678.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.818","0.139","-80.100","12633.9","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.633","0.143","-133.200","12578.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.486","0.146","-85.200","12533.7","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.438","0.149","-100.500","12474.3","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.223","0.152","-104.700","12420.4","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.212","0.155","-86.100","12360.9","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.004","0.158","-110.700","12293.7","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.973","0.161","-72.900","12234.8","7.000","7.000","10.167","5.567","0.088"
