"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.544","0.000","-262.200","13995.9","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.089","0.000","-287.100","13995.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.473","0.010","-308.400","13998.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.838","0.018","-299.100","13993.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.302","0.023","-268.200","13999.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.731","0.028","-340.500","13993.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.069","0.032","-278.700","14001.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.391","0.036","-229.500","13994.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.560","0.040","-131.100","14002.4","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.881","0.044","-117.900","13994.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.191","0.048","-238.200","14001.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.167","0.051","-125.700","13996.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.451","0.054","-164.100","14001.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.584","0.057","-151.800","13997.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.743","0.060","-165.900","14000.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.777","0.063","-120.600","13991.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.926","0.066","-160.200","13955.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.922","0.068","-118.500","13905.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.991","0.071","-145.800","13841.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.971","0.075","-126.000","13785.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.964","0.079","-123.900","13713.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.935","0.083","-131.400","13652.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.898","0.086","-143.700","13577.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.923","0.089","-189.300","13510.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.768","0.092","-120.900","13428.8","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.772","0.095","-150.300","13351.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.606","0.097","-123.300","13271.6","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.547","0.100","-141.900","13191.9","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.355","0.103","-106.200","13122.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.282","0.105","-132.300","13045.8","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.066","0.107","-104.400","12985.8","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.929","0.110","-92.100","12918.5","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.821","0.112","-129.900","12868.5","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.546","0.114","-63.300","12815.3","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.516","0.117","-116.700","12766.1","7.000","7.000","11.278","6.011","0.068"
