"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.615","0.000","-265.500","13997.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.092","0.000","-304.800","13992.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.491","0.010","-278.100","13999.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.922","0.018","-286.800","13994.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.385","0.023","-310.800","14002.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.731","0.028","-288.900","13993.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.171","0.032","-299.100","14001.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.443","0.037","-227.100","13993.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.645","0.040","-128.700","14000.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.920","0.044","-126.000","13995.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.267","0.048","-221.700","14000.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.275","0.051","-148.200","13997.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.491","0.054","-153.000","14000.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.659","0.057","-166.200","13999.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.741","0.060","-154.500","13997.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.804","0.063","-141.300","13993.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.896","0.066","-148.800","13954.2","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.919","0.068","-134.100","13906.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.925","0.072","-137.400","13841.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.932","0.076","-143.700","13786.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.837","0.079","-117.600","13716.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.847","0.083","-141.000","13656.1","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.748","0.086","-149.100","13582.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.759","0.089","-186.600","13513.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.571","0.093","-130.200","13435.8","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.546","0.096","-144.300","13355.7","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.423","0.099","-137.400","13278.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.297","0.102","-132.300","13195.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.146","0.104","-123.600","13126.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.011","0.107","-124.800","13048.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.864","0.110","-114.600","12988.5","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.669","0.113","-98.100","12923.1","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.603","0.115","-129.900","12869.5","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.316","0.118","-86.700","12817.8","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.268","0.121","-105.300","12764.8","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.052","0.124","-98.100","12722.8","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.912","0.126","-95.100","12668.6","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.748","0.129","-90.900","12626.6","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.595","0.132","-86.400","12573.3","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.508","0.135","-101.700","12522.6","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.266","0.138","-69.600","12471.5","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.262","0.141","-104.700","12409.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.026","0.144","-79.800","12355.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.948","0.147","-89.100","12287.2","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.820","0.150","-90.600","12225.0","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.676","0.153","-88.500","12157.2","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.604","0.156","-94.200","12084.3","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.417","0.159","-73.800","12020.0","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.392","0.162","-101.100","11942.7","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.208","0.165","-79.200","11874.6","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.145","0.168","-87.300","11802.0","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.053","0.171","-95.400","11725.8","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.908","0.174","-75.600","11659.9","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.866","0.177","-95.700","11583.6","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.729","0.180","-82.800","11515.9","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.644","0.183","-83.700","11450.3","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.565","0.186","-93.300","11379.2","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.447","0.189","-80.100","11321.4","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.371","0.192","-81.600","11256.7","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.282","0.195","-89.400","11194.1","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.173","0.198","-73.800","11139.3","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.117","0.201","-84.600","11073.2","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.016","0.205","-80.700","11014.2","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","5.945","0.208","-82.200","10954.0","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.902","0.212","-105.900","10884.1","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.792","0.216","-84.600","10823.5","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.788","0.220","-106.500","10754.7","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.712","0.225","-108.600","10681.5","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.662","0.229","-99.600","10616.5","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.645","0.233","-120.600","10541.3","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.595","0.238","-118.200","10466.6","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.567","0.243","-112.800","10398.6","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.559","0.248","-132.000","10321.5","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.534","0.252","-125.700","10247.1","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.526","0.257","-124.200","10179.0","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.528","0.262","-148.200","10101.9","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.490","0.267","-126.900","10028.7","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.509","0.272","-144.300","9960.9","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.475","0.278","-145.800","9884.1","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.474","0.283","-135.000","9810.6","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.472","0.288","-151.200","9742.4","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.459","0.293","-149.700","9665.2","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.454","0.298","-137.700","9589.9","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.446","0.304","-154.800","9520.2","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.444","0.309","-154.500","9441.9","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.444","0.314","-141.000","9363.4","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.465","0.320","-161.400","9291.5","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.440","0.325","-155.100","9212.5","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.461","0.330","-150.300","9131.0","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.485","0.336","-155.100","9056.7","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.483","0.341","-163.800","8978.5","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.476","0.347","-152.400","8895.0","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.493","0.352","-156.600","8816.1","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.509","0.357","-167.400","8739.8","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.499","0.363","-155.700","8655.5","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.529","0.368","-153.000","8571.2","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.537","0.374","-170.400","8493.7","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.528","0.379","-160.500","8410.5","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.537","0.385","-155.700","8322.8","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.557","0.390","-166.800","8239.4","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.542","0.395","-163.500","8157.7","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.545","0.401","-160.500","8069.2","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.554","0.406","-164.100","7979.3","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.560","0.412","-161.100","7894.6","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.547","0.417","-169.200","7808.5","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.542","0.422","-161.400","7717.0","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.553","0.428","-154.200","7625.4","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.560","0.433","-170.400","7538.8","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.555","0.439","-168.300","7450.7","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.548","0.444","-158.100","7358.2","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.573","0.450","-157.200","7266.3","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.580","0.455","-174.300","7179.2","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.553","0.461","-163.800","7090.8","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.552","0.466","-156.000","6998.3","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.593","0.472","-161.700","6905.3","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.606","0.477","-171.900","6815.9","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.573","0.483","-165.600","6728.1","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.578","0.488","-161.100","6638.7","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.611","0.494","-165.900","6557.2","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.611","0.499","-167.400","6480.3","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.602","0.505","-168.600","6406.4","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.602","0.511","-164.400","6330.4","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.609","0.516","-165.600","6254.0","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.627","0.522","-160.800","6180.0","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.636","0.527","-170.700","6107.7","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.632","0.533","-169.800","6035.9","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.613","0.538","-162.300","5959.7","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.647","0.544","-167.700","5883.1","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.653","0.549","-168.300","5806.9","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.647","0.555","-169.200","5731.6","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.635","0.561","-163.500","5656.3","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.635","0.566","-171.300","5577.1","9.000","9.000","6.434","4.268","0.262"
"132","2","6.000","5.635","0.572","-172.200","5497.2","9.000","9.000","6.433","4.266","0.264"
"133","2","6.000","5.628","0.577","-165.000","5417.3","9.000","9.000","6.432","4.264","0.266"
"134","2","6.000","5.640","0.583","-160.200","5338.2","9.000","9.000","6.431","4.261","0.268"
"135","2","6.000","5.651","0.588","-162.000","5260.6","9.000","9.000","6.429","4.259","0.270"
"136","2","6.000","5.660","0.594","-168.600","5181.0","9.000","9.000","6.428","4.256","0.272"
"137","2","6.000","5.662","0.600","-164.100","5098.9","9.000","9.000","6.427","4.254","0.274"
"138","2","6.000","5.695","0.605","-169.200","5017.9","9.000","9.000","6.426","4.252","0.276"
"139","2","6.000","5.706","0.611","-166.800","4936.7","9.000","9.000","6.425","4.249","0.278"
"140","2","6.000","5.710","0.617","-161.700","4856.9","9.000","9.000","6.424","4.247","0.280"
"141","2","6.000","5.725","0.622","-162.600","4778.5","9.000","9.000","6.422","4.245","0.282"
"142","2","6.000","5.745","0.628","-170.100","4698.3","9.000","9.000","6.421","4.242","0.284"
"143","2","6.000","5.748","0.633","-174.600","4616.5","9.000","9.000","6.420","4.240","0.286"
"144","2","6.000","5.745","0.639","-172.500","4535.1","9.000","9.000","6.419","4.238","0.288"
"145","2","6.000","5.747","0.644","-169.500","4453.3","9.000","9.000","6.418","4.235","0.290"
"146","2","6.000","5.739","0.650","-164.700","4372.4","9.000","9.000","6.416","4.233","0.292"
"147","2","6.000","5.745","0.655","-166.500","4292.0","9.000","9.000","6.415","4.231","0.294"
"148","2","6.000","5.741","0.661","-166.800","4212.0","9.000","9.000","6.414","4.228","0.296"
"149","2","6.000","5.740","0.666","-171.300","4130.9","9.000","9.000","6.413","4.226","0.298"
"150","2","6.000","5.717","0.672","-176.100","4048.2","9.000","9.000","6.412","4.224","0.300"
"151","2","6.000","5.699","0.677","-168.900","3966.4","9.000","9.000","6.411","4.221","0.302"
"152","2","6.000","5.679","0.683","-170.100","3884.5","9.000","9.000","6.409","4.219","0.304"
"153","2","6.000","5.653","0.689","-171.600","3803.5","9.000","9.000","6.408","4.216","0.306"
"154","2","6.000","5.634","0.694","-165.000","3722.0","9.000","9.000","6.407","4.214","0.308"
"155","2","6.000","5.631","0.700","-157.800","3641.5","9.000","9.000","6.406","4.212","0.310"
"156","2","6.000","5.632","0.706","-178.800","3559.8","9.000","9.000","6.405","4.209","0.312"
"157","2","6.000","5.603","0.711","-179.700","3478.4","9.000","9.000","6.404","4.207","0.314"
"158","2","6.000","5.558","0.717","-180.900","3396.0","9.000","9.000","6.402","4.205","0.316"
"159","2","6.000","5.506","0.723","-180.300","3314.2","9.000","9.000","6.401","4.202","0.318"
"160","2","6.000","5.474","0.729","-179.700","3231.6","9.000","10.000","6.400","4.200","0.320"
"161","2","6.000","5.426","0.735","-178.500","3150.1","9.000","10.000","6.400","4.200","0.322"
"162","2","6.000","5.392","0.741","-175.500","3069.6","9.000","10.000","6.400","4.200","0.324"
"163","2","6.000","5.381","0.747","-168.600","2987.9","9.000","10.000","6.400","4.200","0.326"
"164","2","6.000","5.372","0.753","-179.100","2906.8","9.000","10.000","6.400","4.200","0.328"
"165","2","6.000","5.338","0.760","-181.500","2824.9","9.000","10.000","6.400","4.200","0.330"
"166","2","6.000","5.311","0.766","-186.600","2742.7","10.000","10.000","6.400","4.200","0.332"
"167","2","6.000","5.274","0.772","-189.000","2661.2","10.000","10.000","6.400","4.200","0.334"
"168","2","6.000","5.236","0.779","-192.000","2579.1","10.000","10.000","6.400","4.200","0.336"
"169","2","6.000","5.200","0.785","-198.900","2497.8","10.000","10.000","6.400","4.200","0.338"
"170","2","6.000","5.156","0.792","-192.300","2416.2","10.000","10.000","6.400","4.200","0.340"
"171","2","6.000","5.133","0.799","-191.100","2333.4","10.000","10.000","6.400","4.200","0.342"
"172","2","6.000","5.107","0.806","-189.300","2251.7","10.000","10.000","6.400","4.200","0.344"
"173","2","6.000","5.100","0.813","-203.400","2169.7","10.000","10.000","6.400","4.200","0.346"
"174","2","6.000","5.062","0.820","-212.700","2086.5","10.000","10.000","6.400","4.200","0.348"
"175","2","6.000","4.992","0.827","-207.600","2004.1","10.000","10.000","6.400","4.200","0.350"
"176","3","6.160","4.929","0.834","-212.400","1922.9","11.000","11.000","6.400","4.200","0.352"
"177","3","6.320","4.885","0.841","-210.000","1841.9","11.000","11.000","6.317","4.000","0.354"
"178","3","6.480","4.844","0.848","-219.300","1758.6","11.000","11.000","6.233","3.800","0.356"
"179","3","6.640","4.776","0.858","-227.400","1676.3","11.000","11.000","6.150","3.600","0.358"
"180","3","6.800","4.701","0.871","-220.200","1594.7","11.000","11.000","6.067","3.400","0.360"
"181","3","6.960","4.644","0.888","-235.200","1512.6","11.000","11.000","5.983","3.200","0.362"
"182","3","7.120","4.528","0.908","-272.100","1428.2","12.000","12.000","5.900","3.000","0.364"
"183","3","7.280","4.394","0.928","-311.400","1345.4","12.000","12.000","5.800","2.833","0.366"
"184","3","7.440","4.546","0.948","-521.700","1261.8","12.000","12.000","5.700","2.667","0.368"
"185","3","7.600","4.529","0.968","-663.600","1177.8","12.000","13.000","5.600","2.500","0.370"
"186","3","7.760","4.313","0.988","-666.600","1094.8","12.000","13.000","5.417","2.417","0.372"
"187","3","7.920","4.079","1.008","-627.300","1012.8","13.000","13.000","5.233","2.333","0.374"
"188","3","8.080","3.897","1.028","-641.700","931.1","13.000","13.000","5.050","2.250","0.376"
"189","3","8.240","3.667","1.048","-652.500","849.7","13.000","13.000","4.867","2.167","0.378"
"190","3","8.400","3.352","1.068","-618.300","771.0","13.000","13.000","4.683","2.083","0.380"
"191","3","8.560","3.147","1.088","-581.700","693.3","13.000","14.000","4.500","2.000","0.382"
"192","3","8.720","3.065","1.108","-583.800","615.6","13.000","14.000","4.750","2.000","0.384"
"193","3","8.880","2.998","1.128","-582.000","537.6","13.000","14.000","5.000","2.000","0.386"
"194","3","9.040","2.943","1.148","-550.800","458.9","13.000","14.000","5.250","2.000","0.388"
