"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.654","0.000","-253.800","13997.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.021","0.000","-336.600","13993.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.349","0.010","-271.800","14000.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.937","0.018","-273.300","13993.2","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.184","0.023","-344.700","14000.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.644","0.028","-261.300","13993.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.000","0.033","-326.400","14001.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.109","0.037","-227.700","13994.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.416","0.041","-102.900","14000.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.765","0.045","-153.900","13995.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.900","0.048","-209.400","14000.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.000","0.052","-145.500","13998.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.274","0.055","-162.300","13999.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.345","0.059","-160.500","14000.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.475","0.062","-157.800","13996.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.564","0.065","-132.300","13993.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.648","0.068","-165.300","13953.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.664","0.070","-116.100","13906.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.763","0.074","-148.200","13841.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.671","0.078","-144.300","13786.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.711","0.083","-116.700","13715.7","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.687","0.086","-140.700","13655.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.708","0.090","-160.500","13581.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.619","0.094","-205.500","13512.9","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.545","0.097","-120.600","13436.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.539","0.101","-168.900","13354.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.381","0.104","-134.400","13278.9","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.316","0.107","-153.600","13195.4","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.146","0.110","-116.700","13127.1","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.092","0.113","-143.100","13049.0","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.843","0.116","-128.400","12988.1","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.808","0.118","-98.700","12921.8","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.571","0.121","-150.600","12866.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.435","0.124","-74.700","12814.5","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.307","0.127","-139.200","12761.5","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.092","0.130","-81.300","12719.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.013","0.132","-114.600","12665.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.753","0.135","-94.800","12623.9","7.000","7.000","10.944","5.878","0.074"
