"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.711","0.000","-297.300","13998.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.168","0.000","-269.700","13993.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.568","0.010","-275.700","14001.6","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.032","0.018","-301.200","13993.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.403","0.023","-292.800","14000.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.841","0.028","-280.800","13994.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.161","0.032","-309.600","14000.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.359","0.037","-213.000","13996.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.589","0.041","-147.300","14000.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.985","0.044","-99.600","13997.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.070","0.048","-234.900","13999.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.207","0.051","-137.700","14000.1","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.448","0.055","-160.800","13996.5","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.537","0.058","-147.600","14001.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.660","0.061","-173.100","13995.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.678","0.064","-137.700","13995.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.784","0.066","-144.300","13953.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.780","0.069","-141.600","13908.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.825","0.073","-141.000","13844.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.701","0.077","-152.400","13789.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.768","0.081","-98.400","13720.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.678","0.085","-164.100","13658.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.708","0.088","-137.100","13588.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.579","0.092","-212.100","13517.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.524","0.095","-115.200","13443.6","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.483","0.099","-166.800","13360.1","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.304","0.102","-139.200","13285.9","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.252","0.105","-141.000","13200.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.065","0.108","-130.500","13131.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.009","0.111","-122.400","13053.9","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.762","0.114","-143.100","12989.6","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.769","0.117","-78.300","12923.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.517","0.120","-153.900","12864.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.416","0.123","-76.500","12815.3","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.306","0.125","-121.500","12759.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.096","0.128","-102.000","12718.4","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.047","0.131","-87.900","12665.1","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.798","0.134","-117.600","12621.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.807","0.137","-66.000","12571.6","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.548","0.140","-128.400","12518.4","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.506","0.143","-58.200","12470.6","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.384","0.146","-109.200","12408.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.203","0.149","-90.300","12355.0","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.206","0.152","-73.200","12289.3","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.965","0.155","-114.000","12223.9","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.976","0.158","-58.800","12160.4","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.781","0.160","-110.400","12085.1","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.699","0.163","-72.900","12021.4","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.632","0.166","-79.200","11945.6","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.463","0.169","-99.600","11874.0","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.450","0.171","-59.700","11804.7","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.289","0.174","-101.100","11726.3","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.207","0.177","-72.000","11660.6","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.141","0.179","-71.700","11585.9","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.997","0.182","-98.700","11514.6","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.937","0.184","-55.200","11451.4","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.845","0.187","-84.600","11378.6","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.710","0.189","-81.000","11319.1","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.687","0.191","-49.500","11256.5","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.548","0.194","-90.000","11191.3","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.462","0.196","-60.000","11136.8","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.430","0.199","-54.600","11072.0","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.276","0.202","-96.300","11010.0","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.273","0.205","-43.200","10952.8","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.174","0.209","-97.500","10882.6","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.078","0.212","-85.800","10819.7","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.099","0.216","-61.200","10754.4","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.996","0.219","-116.400","10679.6","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.942","0.223","-88.500","10613.8","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.960","0.227","-80.100","10541.4","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.865","0.231","-123.300","10464.6","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.865","0.235","-85.800","10396.9","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.893","0.239","-100.500","10321.3","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.790","0.243","-135.300","10244.7","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.837","0.248","-83.400","10177.1","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.832","0.252","-122.400","10101.0","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.764","0.256","-133.500","10025.5","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.796","0.261","-102.300","9958.1","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.789","0.265","-130.800","9882.8","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.737","0.269","-134.100","9807.2","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.767","0.274","-107.400","9739.5","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.789","0.278","-130.200","9664.0","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.720","0.283","-138.000","9586.4","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.751","0.288","-114.300","9517.2","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.752","0.292","-136.200","9440.9","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.709","0.297","-137.400","9360.7","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.712","0.301","-128.100","9288.6","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.744","0.306","-127.800","9212.0","8.000","9.000","6.486","4.372","0.174"
