"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.766","0.000","-266.400","13993.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.247","0.000","-302.700","13998.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.596","0.010","-304.200","13995.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.011","0.018","-275.700","13998.2","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.460","0.023","-311.100","13998.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.822","0.028","-319.800","13997.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.171","0.032","-273.300","13999.6","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.531","0.037","-263.100","13994.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.605","0.041","-111.600","14001.4","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.936","0.044","-136.500","13995.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.214","0.048","-249.900","14003.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.147","0.051","-118.800","13994.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.389","0.055","-173.400","14002.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.478","0.058","-166.200","13995.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.572","0.061","-154.800","14002.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.599","0.064","-145.800","13988.4","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.681","0.067","-151.500","13959.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.654","0.069","-138.300","13903.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.656","0.073","-143.400","13845.1","6.000","6.000","12.188","6.500","0.036"
