"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.446","0.000","-278.100","13994.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.839","0.000","-294.000","13997.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.234","0.010","-282.300","13996.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.570","0.018","-329.100","13995.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.012","0.023","-245.400","13997.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.352","0.028","-346.800","13993.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.699","0.033","-273.300","13999.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.879","0.037","-242.700","13994.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","8.994","0.041","-132.600","14001.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.471","0.045","-111.600","13993.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.462","0.049","-230.700","14002.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.642","0.052","-146.700","13994.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.874","0.056","-134.400","14002.5","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.009","0.059","-177.600","13995.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.124","0.062","-138.600","14001.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.267","0.066","-138.900","13988.8","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.352","0.069","-142.500","13957.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.466","0.072","-122.400","13902.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.503","0.075","-154.500","13841.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.518","0.080","-117.000","13783.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.596","0.084","-132.900","13714.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.577","0.088","-131.700","13653.0","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.678","0.092","-164.400","13576.9","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.620","0.096","-185.400","13511.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.609","0.099","-157.500","13428.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.551","0.103","-144.900","13354.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.541","0.106","-144.300","13271.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.384","0.109","-157.200","13195.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.333","0.111","-115.200","13121.1","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.196","0.114","-150.300","13046.7","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.059","0.117","-105.300","12986.1","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.970","0.119","-132.000","12919.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.723","0.122","-114.300","12870.3","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.668","0.124","-98.400","12813.0","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.426","0.127","-117.300","12766.4","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.345","0.129","-86.100","12718.3","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.106","0.132","-113.700","12667.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.004","0.134","-67.800","12624.9","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.857","0.136","-112.500","12568.2","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.638","0.139","-76.500","12522.8","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.611","0.142","-75.300","12464.3","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.344","0.144","-103.500","12407.4","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.314","0.147","-58.500","12350.0","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.097","0.149","-101.700","12281.4","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.011","0.152","-62.700","12221.7","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.901","0.155","-89.700","12148.6","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.715","0.157","-81.000","12081.7","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.702","0.160","-62.100","12012.3","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.498","0.163","-95.700","11936.3","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.447","0.165","-60.000","11870.8","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.324","0.168","-87.600","11793.4","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.204","0.171","-77.400","11723.1","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.144","0.173","-62.700","11653.8","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.004","0.176","-90.300","11577.6","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.925","0.178","-64.500","11514.9","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.839","0.181","-71.100","11443.7","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.709","0.183","-88.500","11377.9","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.654","0.185","-49.200","11319.6","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.569","0.188","-82.200","11252.0","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.453","0.190","-64.500","11195.4","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.431","0.193","-56.400","11135.0","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.287","0.196","-79.200","11069.9","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.250","0.199","-56.100","11013.7","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.199","0.202","-74.700","10947.7","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.070","0.205","-94.200","10881.4","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.092","0.209","-56.400","10820.5","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.009","0.212","-101.100","10747.5","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.943","0.216","-89.700","10679.2","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.963","0.220","-75.300","10612.1","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.897","0.224","-115.200","10534.3","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.863","0.228","-86.100","10465.5","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.894","0.232","-95.700","10393.9","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.808","0.236","-127.500","10315.5","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.818","0.240","-89.400","10246.9","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.851","0.244","-112.200","10174.4","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.775","0.248","-129.000","10096.8","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.830","0.252","-89.100","10029.0","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.827","0.257","-128.400","9956.3","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.778","0.261","-126.300","9879.0","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.813","0.265","-104.400","9811.0","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.818","0.270","-131.700","9738.2","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.771","0.274","-127.800","9660.0","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.802","0.278","-107.700","9589.6","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.809","0.283","-133.500","9516.3","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.763","0.287","-130.500","9436.0","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.796","0.291","-114.000","9362.1","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.785","0.296","-136.200","9288.3","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.761","0.300","-133.800","9206.6","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.756","0.304","-124.800","9128.4","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.784","0.309","-124.500","9054.7","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.731","0.313","-144.000","8972.7","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.725","0.318","-124.200","8891.0","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.746","0.322","-127.200","8815.8","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.715","0.327","-142.200","8735.0","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.707","0.331","-127.800","8650.1","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.710","0.336","-130.200","8570.6","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.709","0.340","-137.700","8491.8","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.701","0.345","-137.100","8405.5","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.698","0.350","-133.500","8319.6","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.693","0.354","-135.300","8239.8","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.705","0.359","-136.500","8154.5","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.688","0.364","-141.000","8064.7","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.679","0.368","-138.600","7977.9","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.695","0.373","-132.300","7894.2","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.674","0.378","-149.400","7804.6","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.657","0.382","-140.400","7712.2","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.658","0.387","-136.200","7624.0","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.665","0.392","-141.600","7537.8","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.643","0.397","-147.000","7446.4","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.623","0.401","-143.700","7353.6","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.630","0.406","-135.900","7265.4","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.641","0.411","-142.200","7178.8","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.608","0.416","-152.700","7087.3","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.590","0.421","-143.100","6993.9","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.594","0.426","-141.900","6903.7","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.615","0.431","-139.500","6816.7","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.599","0.436","-154.800","6726.2","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.576","0.441","-148.200","6632.8","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.586","0.446","-138.900","6541.0","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.599","0.451","-147.900","6457.7","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.605","0.456","-151.500","6377.9","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.582","0.461","-155.100","6295.6","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.568","0.466","-151.200","6217.8","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.573","0.471","-146.700","6143.4","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.598","0.476","-146.100","6070.6","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.590","0.481","-154.500","5994.8","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.588","0.486","-149.700","5918.1","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.591","0.491","-148.500","5841.7","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.583","0.497","-157.800","5767.1","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.597","0.502","-148.200","5693.6","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.624","0.507","-151.500","5616.4","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.606","0.512","-161.400","5536.2","9.000","9.000","6.434","4.268","0.262"
"132","2","6.000","5.603","0.517","-151.500","5456.6","9.000","9.000","6.433","4.266","0.264"
"133","2","6.000","5.619","0.522","-149.700","5378.1","9.000","9.000","6.432","4.264","0.266"
"134","2","6.000","5.619","0.528","-153.600","5300.1","9.000","9.000","6.431","4.261","0.268"
"135","2","6.000","5.654","0.533","-148.500","5221.1","9.000","9.000","6.429","4.259","0.270"
"136","2","6.000","5.660","0.538","-161.400","5138.8","9.000","9.000","6.428","4.256","0.272"
"137","2","6.000","5.650","0.543","-158.100","5057.1","9.000","9.000","6.427","4.254","0.274"
"138","2","6.000","5.637","0.548","-154.200","4975.7","9.000","9.000","6.426","4.252","0.276"
"139","2","6.000","5.650","0.554","-152.100","4895.1","9.000","9.000","6.425","4.249","0.278"
"140","2","6.000","5.648","0.559","-158.400","4816.1","9.000","9.000","6.424","4.247","0.280"
"141","2","6.000","5.669","0.564","-147.900","4735.3","9.000","9.000","6.422","4.245","0.282"
"142","2","6.000","5.669","0.569","-162.000","4652.7","9.000","9.000","6.421","4.242","0.284"
"143","2","6.000","5.635","0.574","-162.300","4570.5","9.000","9.000","6.420","4.240","0.286"
"144","2","6.000","5.627","0.579","-157.800","4487.6","9.000","9.000","6.419","4.238","0.288"
"145","2","6.000","5.612","0.585","-155.700","4406.4","9.000","9.000","6.418","4.235","0.290"
"146","2","6.000","5.609","0.590","-155.100","4325.5","9.000","9.000","6.416","4.233","0.292"
"147","2","6.000","5.605","0.595","-154.200","4245.0","9.000","9.000","6.415","4.231","0.294"
"148","2","6.000","5.608","0.600","-155.700","4163.1","9.000","9.000","6.414","4.228","0.296"
