"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.811","0.000","-286.500","13991.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.132","0.000","-303.300","13999.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.550","0.010","-291.300","13992.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.948","0.018","-297.300","13999.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.293","0.023","-309.600","13994.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.691","0.028","-299.400","14000.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.028","0.033","-307.800","13997.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.146","0.037","-255.000","13998.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.355","0.041","-88.800","13998.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.696","0.045","-185.700","13997.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.754","0.049","-172.800","14000.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.920","0.052","-180.300","13995.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.062","0.056","-133.200","14002.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.269","0.059","-171.000","13995.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.294","0.063","-155.400","14003.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.448","0.066","-139.800","13987.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.486","0.069","-146.400","13960.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.589","0.072","-134.400","13900.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.587","0.076","-154.200","13846.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.612","0.080","-119.700","13781.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.624","0.085","-144.300","13720.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.590","0.089","-120.900","13652.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.660","0.093","-178.800","13581.9","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.609","0.097","-177.600","13513.8","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.576","0.101","-176.700","13434.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.477","0.104","-128.400","13361.1","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.501","0.108","-167.700","13274.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.294","0.111","-150.600","13202.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.256","0.114","-135.300","13122.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.079","0.117","-147.600","13053.8","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.959","0.120","-111.300","12986.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.841","0.123","-150.300","12923.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.627","0.126","-96.600","12871.9","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.567","0.129","-130.500","12813.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.306","0.132","-102.900","12770.7","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.255","0.134","-110.400","12717.1","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.996","0.137","-113.400","12673.4","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.931","0.140","-81.300","12624.6","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.731","0.143","-134.100","12572.6","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.551","0.146","-62.400","12526.6","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.504","0.149","-119.700","12466.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.228","0.152","-93.900","12415.9","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.216","0.155","-83.100","12352.6","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.975","0.158","-114.000","12289.9","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.924","0.162","-67.800","12227.6","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.755","0.165","-124.800","12154.1","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.597","0.168","-68.400","12091.6","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.576","0.171","-99.900","12016.6","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.324","0.174","-107.700","11946.5","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.315","0.178","-60.600","11876.8","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.163","0.181","-120.900","11798.9","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.042","0.184","-74.100","11732.9","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.997","0.187","-87.600","11656.7","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.824","0.190","-111.000","11585.8","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.780","0.193","-66.000","11520.0","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.675","0.196","-107.100","11445.9","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.542","0.199","-89.400","11386.1","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.517","0.202","-69.900","11320.9","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.374","0.206","-119.700","11255.7","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.279","0.209","-57.600","11200.9","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.277","0.212","-96.000","11135.9","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.068","0.216","-103.800","11076.3","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.083","0.219","-48.900","11018.1","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.021","0.223","-123.000","10950.0","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.872","0.227","-98.100","10890.6","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.931","0.231","-74.400","10824.7","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.813","0.236","-143.400","10752.8","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.745","0.240","-81.900","10689.3","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.810","0.245","-109.200","10615.9","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.687","0.249","-147.600","10541.5","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.680","0.254","-82.200","10474.4","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.748","0.259","-135.300","10397.8","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.616","0.264","-152.700","10323.4","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.671","0.268","-87.600","10255.3","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.718","0.273","-159.300","10178.4","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.586","0.278","-147.300","10105.4","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.679","0.283","-99.300","10037.7","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.696","0.288","-169.200","9961.2","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.602","0.293","-144.000","9888.6","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.675","0.299","-109.800","9820.9","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.717","0.304","-170.400","9744.0","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.613","0.309","-147.900","9669.8","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.696","0.314","-113.100","9600.5","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.745","0.319","-169.800","9522.6","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.649","0.324","-147.000","9445.6","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.726","0.329","-124.200","9374.8","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.778","0.334","-166.500","9295.9","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.698","0.339","-156.600","9215.5","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.755","0.344","-124.500","9142.5","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.835","0.349","-162.300","9063.8","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.746","0.354","-162.300","8980.9","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.780","0.359","-126.300","8904.4","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.855","0.364","-154.800","8827.5","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.793","0.369","-166.800","8743.6","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.805","0.374","-133.500","8661.7","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.860","0.379","-143.700","8584.7","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.854","0.384","-154.500","8501.0","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.851","0.389","-144.300","8414.5","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.872","0.394","-151.200","8333.8","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.871","0.398","-143.400","8251.7","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.895","0.403","-150.000","8162.9","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.860","0.408","-159.900","8075.5","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.848","0.413","-138.000","7993.0","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.902","0.418","-139.200","7905.8","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.885","0.423","-160.500","7814.0","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.846","0.427","-143.100","7724.4","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.887","0.432","-128.400","7638.6","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.920","0.437","-153.900","7548.5","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.889","0.442","-150.900","7455.6","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.879","0.447","-143.100","7365.8","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.908","0.452","-135.000","7279.5","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.933","0.456","-153.000","7189.3","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.891","0.461","-155.400","7095.9","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.867","0.466","-141.900","7004.7","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.881","0.471","-140.100","6917.7","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.895","0.476","-151.500","6827.7","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.856","0.480","-152.400","6734.7","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.845","0.485","-139.200","6641.8","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.857","0.490","-140.400","6552.8","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.874","0.495","-142.500","6464.2","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.873","0.500","-151.500","6372.0","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.850","0.505","-148.500","6278.5","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.847","0.510","-143.100","6188.5","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.866","0.515","-138.600","6109.2","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.878","0.519","-154.200","6027.7","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.836","0.524","-153.600","5946.6","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.841","0.529","-145.200","5868.5","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.835","0.534","-146.700","5792.4","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.824","0.539","-147.600","5718.6","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.841","0.544","-143.400","5642.4","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.835","0.549","-153.900","5563.5","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.799","0.554","-151.800","5485.7","9.000","9.000","6.434","4.268","0.262"
"132","2","6.000","5.805","0.559","-140.700","5408.2","9.000","9.000","6.433","4.266","0.264"
"133","2","6.000","5.815","0.564","-150.600","5331.7","9.000","9.000","6.432","4.264","0.266"
"134","2","6.000","5.806","0.569","-147.900","5253.9","9.000","9.000","6.431","4.261","0.268"
"135","2","6.000","5.802","0.574","-153.600","5172.4","9.000","9.000","6.429","4.259","0.270"
"136","2","6.000","5.778","0.579","-156.000","5091.1","9.000","9.000","6.428","4.256","0.272"
