"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.772","0.000","-270.600","13996.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.118","0.000","-310.800","13997.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.499","0.010","-295.800","13994.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.895","0.018","-270.600","13999.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.348","0.023","-305.400","13993.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.673","0.028","-294.000","14001.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.053","0.033","-301.500","13993.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.149","0.037","-238.800","14002.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.438","0.041","-108.300","13993.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.744","0.045","-150.900","14001.4","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.848","0.049","-195.600","13994.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.934","0.052","-177.600","14000.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.033","0.056","-173.400","13996.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.788","0.059","-264.300","13999.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","9.802","0.062","-105.900","13998.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.034","0.065","-148.200","13990.4","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.002","0.069","-144.300","13958.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.174","0.072","-110.700","13901.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.221","0.076","-114.300","13850.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.357","0.081","-107.700","13784.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.368","0.086","-132.600","13727.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.516","0.091","-105.900","13654.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.574","0.095","-173.400","13592.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.735","0.099","-156.300","13516.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.689","0.103","-198.600","13447.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.779","0.107","-107.100","13366.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.820","0.110","-171.900","13285.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.709","0.113","-144.000","13208.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.746","0.116","-140.400","13126.9","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.601","0.119","-131.400","13059.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.645","0.121","-116.400","12983.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.420","0.123","-141.600","12924.7","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","10.401","0.126","-92.400","12861.5","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","10.218","0.128","-121.500","12809.5","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","10.133","0.130","-84.300","12759.8","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.966","0.131","-122.100","12707.8","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.791","0.133","-65.100","12666.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.761","0.135","-85.800","12612.2","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.457","0.137","-98.700","12569.8","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","9.432","0.139","-51.600","12516.3","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","9.186","0.140","-92.100","12463.6","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","9.088","0.142","-53.100","12411.4","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.879","0.144","-87.000","12347.3","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.739","0.145","-44.400","12292.0","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.661","0.147","-62.100","12222.5","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","8.382","0.149","-78.000","12157.8","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","8.356","0.150","-29.100","12090.0","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","8.142","0.152","-75.000","12015.4","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","8.029","0.154","-45.600","11950.2","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.919","0.156","-51.900","11872.8","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.749","0.157","-60.900","11802.8","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.678","0.159","-39.900","11731.7","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.519","0.161","-59.700","11654.5","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.408","0.162","-49.800","11589.3","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.319","0.164","-37.200","11514.6","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","7.164","0.166","-65.700","11445.3","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","7.070","0.167","-32.400","11382.9","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.988","0.169","-44.700","11312.0","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.837","0.170","-59.700","11254.8","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.785","0.172","-25.800","11192.6","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.648","0.174","-57.900","11128.4","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.547","0.176","-32.400","11074.1","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.506","0.179","-38.700","11009.3","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.355","0.181","-68.700","10946.6","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.335","0.184","-35.400","10887.9","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.262","0.187","-69.000","10816.7","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.167","0.189","-68.700","10752.7","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","6.165","0.193","-49.200","10685.8","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","6.121","0.196","-81.600","10609.9","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","6.060","0.199","-80.400","10543.3","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","6.070","0.202","-66.600","10470.5","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","6.019","0.206","-96.300","10392.8","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.993","0.209","-80.100","10325.2","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","6.018","0.213","-86.700","10249.8","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.962","0.217","-103.500","10173.5","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.983","0.220","-81.300","10105.5","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.972","0.224","-105.900","10030.5","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.957","0.228","-97.200","9954.3","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.974","0.232","-96.900","9887.1","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.968","0.235","-108.000","9812.2","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.964","0.239","-103.200","9735.8","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.954","0.243","-104.400","9667.7","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.970","0.247","-110.100","9592.3","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.959","0.251","-105.900","9513.9","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.964","0.254","-112.500","9443.4","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.958","0.258","-112.500","9367.7","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.953","0.262","-101.700","9286.5","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.923","0.266","-118.800","9212.3","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.945","0.270","-106.500","9136.9","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.932","0.273","-114.600","9054.1","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.906","0.277","-118.500","8975.5","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.924","0.281","-108.000","8900.8","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.900","0.285","-115.500","8818.1","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.890","0.289","-114.000","8735.5","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.873","0.293","-123.900","8659.3","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.868","0.297","-114.000","8577.8","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.860","0.301","-109.200","8491.5","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.854","0.305","-120.300","8410.0","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.833","0.309","-123.000","8329.9","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.830","0.313","-109.500","8243.1","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.831","0.317","-115.800","8155.4","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.819","0.321","-126.000","8073.1","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.802","0.325","-118.800","7987.4","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.805","0.329","-116.100","7896.7","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.817","0.333","-117.000","7807.4","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.792","0.337","-132.300","7722.8","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.786","0.341","-119.100","7633.5","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.799","0.345","-114.000","7540.6","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.790","0.349","-129.900","7451.6","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.759","0.354","-131.100","7387.8","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.758","0.358","-117.300","7319.9","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.771","0.362","-117.600","7233.5","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.766","0.366","-129.600","7158.5","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.749","0.371","-131.100","7087.5","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.747","0.375","-120.600","7013.4","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.763","0.379","-123.900","6940.7","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.758","0.383","-129.300","6871.3","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.732","0.388","-137.100","6803.8","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.730","0.392","-123.600","6733.1","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.743","0.396","-125.100","6658.6","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.742","0.401","-129.300","6585.4","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.743","0.405","-131.100","6513.7","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.738","0.410","-129.300","6441.2","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.744","0.414","-125.700","6363.3","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.742","0.418","-128.400","6285.4","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.757","0.423","-129.300","6207.8","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.747","0.427","-135.300","6131.8","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.744","0.432","-132.000","6054.1","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.742","0.436","-130.200","5972.8","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.748","0.440","-129.000","5892.1","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.749","0.445","-134.100","5812.1","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.728","0.449","-138.000","5734.0","9.000","9.000","6.434","4.268","0.262"
"132","2","6.000","5.726","0.454","-135.000","5655.1","9.000","9.000","6.433","4.266","0.264"
"133","2","6.000","5.704","0.458","-133.500","5573.0","9.000","9.000","6.432","4.264","0.266"
"134","2","6.000","5.712","0.463","-131.100","5491.9","9.000","9.000","6.431","4.261","0.268"
"135","2","6.000","5.693","0.467","-136.500","5410.5","9.000","9.000","6.429","4.259","0.270"
"136","2","6.000","5.682","0.472","-135.000","5330.4","9.000","9.000","6.428","4.256","0.272"
"137","2","6.000","5.679","0.476","-135.000","5251.4","9.000","9.000","6.427","4.254","0.274"
"138","2","6.000","5.658","0.481","-140.700","5170.2","9.000","9.000","6.426","4.252","0.276"
"139","2","6.000","5.631","0.485","-139.500","5087.3","9.000","9.000","6.425","4.249","0.278"
