"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.685","0.000","-330.000","13993.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.047","0.000","-282.000","13996.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.504","0.010","-280.200","13996.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.863","0.018","-310.800","13996.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.241","0.023","-291.300","13998.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.716","0.028","-283.200","13994.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.998","0.033","-295.500","13999.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.130","0.037","-242.700","13994.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.461","0.041","-88.800","14002.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.735","0.045","-167.400","13995.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.788","0.048","-189.300","14003.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.002","0.052","-147.000","13994.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.128","0.055","-172.200","14002.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.300","0.059","-137.400","13996.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.316","0.062","-187.800","14002.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.462","0.065","-120.900","13989.8","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.508","0.068","-153.300","13957.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.604","0.071","-126.000","13903.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.601","0.075","-150.300","13842.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.590","0.079","-119.400","13783.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.621","0.083","-137.400","13714.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.562","0.087","-137.700","13653.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.637","0.091","-159.600","13578.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.530","0.095","-193.800","13512.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.524","0.099","-151.500","13430.1","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.419","0.102","-155.700","13355.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.396","0.105","-136.500","13272.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.199","0.109","-164.400","13196.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.141","0.112","-120.600","13122.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.947","0.115","-153.000","13048.7","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.820","0.118","-111.300","12988.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.722","0.121","-128.400","12921.7","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.460","0.124","-132.300","12872.3","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.437","0.127","-92.100","12815.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.169","0.129","-134.400","12768.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.108","0.132","-89.400","12721.3","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.872","0.135","-122.400","12669.9","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.784","0.138","-86.100","12627.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.616","0.141","-116.100","12570.7","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.414","0.145","-98.100","12525.3","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.416","0.148","-78.300","12467.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.124","0.151","-127.500","12410.5","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.133","0.154","-66.600","12353.3","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.937","0.157","-111.000","12284.6","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.843","0.160","-88.500","12224.9","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.745","0.164","-96.300","12152.1","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.563","0.167","-102.300","12084.8","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.558","0.170","-72.000","12015.8","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.352","0.173","-114.600","11939.8","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.303","0.176","-79.800","11874.2","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.205","0.179","-91.800","11796.8","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.075","0.183","-99.900","11726.1","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.034","0.186","-74.400","11656.6","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.899","0.189","-103.800","11580.1","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.811","0.192","-82.200","11516.8","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.771","0.195","-77.100","11445.7","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.627","0.197","-110.400","11379.0","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.574","0.200","-64.500","11320.7","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.508","0.203","-92.400","11252.8","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.360","0.206","-91.800","11195.9","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.377","0.209","-59.100","11135.7","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.217","0.212","-102.300","11070.1","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.167","0.216","-72.000","11014.7","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.148","0.219","-76.500","10948.4","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.002","0.223","-118.200","10882.1","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.013","0.227","-71.700","10821.1","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.952","0.231","-107.100","10748.4","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.861","0.235","-113.400","10679.5","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.895","0.239","-78.000","10612.5","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.830","0.243","-132.000","10534.4","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.767","0.248","-108.600","10465.1","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.837","0.252","-92.400","10393.8","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.731","0.257","-148.800","10314.8","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.725","0.261","-104.700","10246.3","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.789","0.266","-114.900","10173.2","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.673","0.271","-158.400","10095.6","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.715","0.275","-102.300","10027.7","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.755","0.280","-127.800","9955.2","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.664","0.285","-159.600","9877.7","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.693","0.290","-108.300","9809.5","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.750","0.295","-130.800","9736.7","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.650","0.299","-163.800","9658.1","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.687","0.304","-113.700","9587.8","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.745","0.309","-137.400","9514.4","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.653","0.314","-165.900","9433.9","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.681","0.319","-123.300","9359.7","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.728","0.324","-137.700","9286.2","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.671","0.329","-163.800","9204.4","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.674","0.334","-134.400","9126.2","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.747","0.339","-129.000","9052.4","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.685","0.344","-165.900","8970.4","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.679","0.349","-141.000","8888.0","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.735","0.353","-134.100","8813.0","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.705","0.358","-159.300","8732.4","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.674","0.363","-150.900","8647.2","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.702","0.368","-138.300","8567.5","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.710","0.373","-149.400","8488.6","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.688","0.378","-153.600","8402.2","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.681","0.383","-149.100","8316.2","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.701","0.388","-141.900","8235.7","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.718","0.393","-144.900","8150.3","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.674","0.398","-163.800","8060.5","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.680","0.403","-146.400","7973.9","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.730","0.408","-132.300","7890.1","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.713","0.413","-163.800","7800.3","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.670","0.419","-160.800","7707.5","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.699","0.424","-138.600","7618.9","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.741","0.429","-141.300","7532.9","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.690","0.434","-170.400","7441.7","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.649","0.439","-159.600","7348.9","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.682","0.444","-137.100","7260.1","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.728","0.449","-144.300","7173.8","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.669","0.454","-175.200","7082.2","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.635","0.459","-153.600","6988.8","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.676","0.464","-137.700","6898.1","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.724","0.470","-148.200","6810.8","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.680","0.475","-170.400","6720.2","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.661","0.480","-155.700","6626.8","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.668","0.485","-148.200","6538.4","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.685","0.490","-153.900","6460.8","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.712","0.496","-152.100","6382.0","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.682","0.501","-167.700","6301.6","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.656","0.506","-156.600","6224.8","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.660","0.511","-151.500","6150.2","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.705","0.517","-149.700","6078.2","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.710","0.522","-158.100","6002.7","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.681","0.527","-165.000","5925.3","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.665","0.533","-156.900","5849.2","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.676","0.538","-153.900","5773.6","9.000","9.000","6.438","4.275","0.256"
