"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.654","0.000","-320.400","13999.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.096","0.000","-255.600","13994.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.495","0.010","-334.800","13998.6","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.861","0.018","-259.800","13996.2","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.301","0.023","-336.300","13997.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.617","0.028","-279.300","13998.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.069","0.032","-310.200","13995.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.112","0.037","-247.500","13999.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.352","0.041","-106.500","13994.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.677","0.045","-144.600","14001.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.829","0.048","-217.200","13994.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.846","0.052","-152.400","14002.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.112","0.055","-136.500","13994.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.169","0.058","-194.400","14002.0","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.156","0.062","-165.900","13994.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.097","0.065","-175.800","13993.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.212","0.068","-96.900","13954.8","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.297","0.071","-167.400","13904.9","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.264","0.075","-114.600","13846.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.354","0.080","-130.200","13786.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.374","0.084","-98.100","13725.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.466","0.089","-142.200","13655.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.469","0.093","-145.800","13591.7","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.590","0.097","-186.900","13514.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.495","0.101","-158.700","13447.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.618","0.104","-122.700","13361.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.533","0.108","-181.800","13287.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.514","0.111","-107.100","13204.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.456","0.114","-173.100","13128.9","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.321","0.117","-111.600","13055.5","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.305","0.119","-146.100","12982.7","7.000","7.000","11.722","6.189","0.060"
