"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.755","0.000","-306.000","13999.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.157","0.000","-285.300","13995.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.516","0.010","-305.100","13998.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.900","0.018","-293.100","13996.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.317","0.023","-300.000","13995.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.689","0.028","-298.800","13998.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.041","0.033","-296.100","13994.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.097","0.037","-240.900","13999.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.427","0.041","-120.900","13993.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.749","0.045","-121.500","14001.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.785","0.048","-232.200","13994.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.922","0.052","-133.200","14003.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.194","0.055","-150.600","13994.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.251","0.059","-165.600","14001.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.390","0.062","-150.600","13995.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.448","0.065","-153.300","13994.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.537","0.068","-134.100","13956.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.598","0.071","-138.900","13905.8","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.650","0.075","-136.200","13850.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.641","0.080","-146.700","13789.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.700","0.084","-98.400","13729.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.733","0.088","-155.100","13659.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.759","0.092","-144.900","13598.5","6.000","6.000","12.438","6.500","0.044"
