"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.435","0.000","-300.900","13997.9","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.782","0.000","-255.600","13990.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.277","0.010","-317.700","13999.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.635","0.018","-267.900","13991.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.083","0.023","-310.200","14000.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.451","0.028","-282.600","13994.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.893","0.033","-324.900","13999.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.094","0.037","-210.900","13995.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.343","0.041","-123.300","13998.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.673","0.045","-152.400","13998.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.899","0.048","-216.000","13997.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.952","0.052","-129.300","14000.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.196","0.055","-177.000","13995.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.325","0.058","-142.200","14001.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.454","0.061","-155.700","13995.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.557","0.064","-147.300","13995.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.643","0.067","-130.200","13953.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.718","0.070","-148.800","13906.9","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.741","0.073","-119.700","13842.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.796","0.077","-155.700","13787.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.730","0.081","-101.400","13718.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.802","0.085","-155.400","13654.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.728","0.088","-130.500","13583.7","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.790","0.092","-204.600","13511.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.635","0.095","-127.800","13438.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.656","0.098","-145.500","13354.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.540","0.101","-141.600","13280.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.451","0.103","-123.900","13195.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.335","0.106","-139.500","13127.1","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.174","0.109","-102.300","13049.7","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.095","0.111","-138.600","12985.5","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.858","0.113","-82.500","12922.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.817","0.116","-137.700","12863.3","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.520","0.118","-77.400","12816.5","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.490","0.121","-99.300","12760.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.252","0.123","-106.200","12719.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.087","0.125","-62.100","12667.5","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.990","0.128","-110.700","12623.1","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.757","0.130","-60.900","12573.8","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.720","0.133","-103.200","12519.7","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.446","0.135","-61.800","12472.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.454","0.138","-81.600","12408.4","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.212","0.140","-93.000","12354.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.105","0.143","-52.200","12288.9","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.039","0.146","-106.800","12222.4","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.808","0.148","-56.400","12159.0","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.787","0.151","-82.800","12083.4","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.577","0.153","-75.600","12019.5","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.533","0.156","-66.600","11943.9","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.390","0.159","-92.700","11871.3","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.256","0.161","-60.000","11802.9","7.000","8.000","9.500","5.300","0.100"
