"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.816","0.000","-251.100","13992.1","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.102","0.000","-323.400","13999.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.552","0.010","-271.500","13994.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.929","0.018","-297.600","13999.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.333","0.023","-283.800","13996.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.731","0.028","-302.400","13998.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.090","0.033","-287.400","13998.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.200","0.037","-256.500","13996.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.538","0.041","-75.300","13999.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.864","0.045","-178.200","13995.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.875","0.049","-186.600","14001.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.066","0.052","-169.500","13994.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.308","0.056","-121.200","14003.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.393","0.059","-197.700","13994.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.442","0.062","-137.400","14003.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.646","0.065","-139.200","13987.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.618","0.068","-159.900","13959.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.709","0.071","-128.700","13900.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.669","0.075","-160.500","13844.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.727","0.079","-111.600","13780.2","6.000","6.000","12.250","6.500","0.038"
