"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.627","0.000","-280.200","13993.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.979","0.000","-293.700","13998.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.379","0.010","-304.800","13993.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.798","0.018","-259.800","14000.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.288","0.023","-303.000","13993.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.554","0.028","-317.100","14001.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.052","0.033","-258.300","13993.6","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.171","0.037","-261.300","14001.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.429","0.041","-100.200","13994.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.798","0.045","-152.700","14001.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.876","0.048","-208.500","13996.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.004","0.052","-155.700","14000.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.231","0.055","-138.300","13998.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.376","0.058","-186.900","13999.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.408","0.062","-141.900","14000.1","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.561","0.065","-155.400","13989.4","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.566","0.067","-143.100","13959.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.653","0.070","-143.100","13900.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.601","0.074","-151.200","13850.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.615","0.078","-135.300","13782.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.537","0.082","-134.400","13726.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.535","0.086","-136.800","13653.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.479","0.090","-177.000","13591.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.436","0.094","-175.200","13516.9","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.308","0.098","-173.700","13445.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.244","0.101","-131.700","13366.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.141","0.105","-173.100","13284.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","9.950","0.108","-130.800","13209.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.888","0.111","-148.500","13126.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.661","0.114","-133.200","13059.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.596","0.118","-121.800","12982.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.383","0.121","-136.200","12923.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.269","0.124","-115.800","12860.9","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.073","0.127","-126.900","12807.3","7.000","7.000","11.389","6.056","0.066"
