"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.459","0.000","-271.200","13992.1","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.930","0.000","-284.700","14001.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.292","0.010","-302.400","13993.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.729","0.018","-281.100","14000.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.195","0.023","-273.600","13993.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.616","0.028","-333.600","13999.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.978","0.032","-270.300","13995.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.257","0.037","-249.000","14000.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.425","0.041","-93.600","13998.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.837","0.044","-172.500","13998.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.949","0.048","-186.000","13999.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.090","0.051","-167.400","13996.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.292","0.054","-139.200","14001.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.436","0.058","-191.100","13996.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.477","0.061","-132.000","14003.1","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.610","0.063","-151.500","13987.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.632","0.066","-154.800","13961.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.647","0.069","-129.000","13901.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.676","0.072","-145.500","13849.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.613","0.076","-135.300","13783.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.571","0.080","-140.700","13724.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.512","0.084","-109.800","13655.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.530","0.088","-189.900","13587.7","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.414","0.091","-157.800","13517.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.353","0.095","-173.100","13440.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.238","0.098","-108.900","13366.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.207","0.101","-175.800","13280.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","9.985","0.104","-117.600","13208.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.950","0.107","-131.400","13126.1","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.752","0.110","-142.500","13058.9","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.634","0.113","-95.400","12987.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.521","0.116","-147.900","12925.8","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.327","0.119","-85.800","12871.6","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.243","0.122","-139.800","12813.4","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.006","0.125","-78.900","12769.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.994","0.128","-122.100","12714.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.705","0.131","-103.800","12672.8","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.663","0.135","-77.700","12622.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.500","0.138","-136.200","12572.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.323","0.141","-59.100","12525.4","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.295","0.144","-124.500","12466.1","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.043","0.147","-77.700","12416.3","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.059","0.150","-97.800","12352.4","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.805","0.153","-102.900","12292.8","7.000","7.000","10.278","5.611","0.086"
