"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.625","0.000","-273.000","13998.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.056","0.000","-332.100","13993.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.386","0.010","-256.500","14000.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.870","0.018","-300.600","13993.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.226","0.023","-321.600","14000.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.619","0.028","-263.100","13993.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.043","0.033","-340.800","14001.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.210","0.037","-193.500","13994.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.493","0.041","-130.500","14000.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.765","0.045","-137.100","13996.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.030","0.048","-222.600","14000.3","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.015","0.052","-138.900","13998.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.302","0.055","-171.000","13999.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.386","0.058","-162.300","14000.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.492","0.061","-156.000","13996.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.569","0.064","-146.100","13993.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.644","0.067","-154.500","13954.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.640","0.070","-130.200","13907.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.694","0.073","-140.700","13842.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.667","0.078","-152.100","13787.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.582","0.082","-111.000","13717.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.613","0.086","-146.100","13656.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.546","0.090","-150.600","13583.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.563","0.093","-204.000","13514.9","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.393","0.097","-123.300","13438.1","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.423","0.100","-165.900","13357.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.251","0.103","-132.600","13280.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.193","0.107","-146.400","13197.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.035","0.110","-130.800","13128.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.937","0.113","-135.300","13050.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.766","0.116","-128.700","12988.8","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.627","0.119","-94.800","12922.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.559","0.122","-153.300","12865.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.264","0.125","-78.900","12814.0","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.276","0.128","-126.600","12760.4","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.009","0.130","-103.500","12718.7","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.927","0.133","-97.500","12664.3","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.733","0.136","-110.400","12622.2","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.593","0.139","-82.500","12569.7","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.485","0.142","-123.600","12518.7","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.247","0.146","-64.800","12468.1","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.250","0.149","-120.000","12406.5","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.968","0.152","-87.300","12353.1","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.937","0.155","-81.600","12285.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.786","0.158","-113.100","12222.8","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.636","0.161","-70.800","12155.8","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.590","0.165","-109.500","12082.3","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.390","0.168","-81.300","12017.9","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.363","0.171","-94.200","11940.6","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.193","0.174","-98.400","11871.5","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.118","0.177","-81.300","11799.5","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.027","0.181","-105.300","11722.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.893","0.184","-82.200","11656.1","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.845","0.187","-94.200","11580.1","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.726","0.190","-96.000","11511.1","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.631","0.193","-75.600","11445.4","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.580","0.196","-102.000","11373.5","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.451","0.199","-91.500","11315.4","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.374","0.202","-70.200","11250.8","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.324","0.205","-107.100","11187.2","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.180","0.208","-72.300","11132.3","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.149","0.212","-84.600","11066.5","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.044","0.215","-99.900","11006.4","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","5.961","0.219","-74.100","10946.6","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.934","0.223","-111.300","10876.6","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.814","0.227","-99.600","10815.2","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.800","0.231","-90.300","10747.1","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.753","0.236","-124.500","10673.3","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.684","0.240","-102.600","10607.7","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.665","0.245","-106.200","10533.1","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.658","0.249","-136.800","10457.3","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.597","0.254","-108.000","10389.4","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.611","0.259","-122.700","10312.3","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.593","0.264","-146.100","10237.0","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.544","0.269","-115.200","10168.7","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.589","0.274","-138.900","10091.5","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.562","0.279","-150.300","10017.2","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.529","0.284","-129.000","9949.2","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.561","0.289","-139.800","9872.7","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.561","0.294","-158.100","9798.2","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.504","0.299","-132.600","9730.2","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.570","0.305","-141.000","9653.2","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.580","0.310","-165.300","9577.4","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.518","0.315","-136.500","9507.6","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.590","0.320","-140.400","9429.8","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.610","0.325","-173.700","9350.5","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.534","0.331","-143.100","9278.4","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.584","0.336","-139.500","9200.2","8.000","9.000","6.486","4.372","0.174"
