"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.635","0.000","-307.800","13994.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.979","0.000","-274.800","13998.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.412","0.010","-300.600","13994.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.823","0.018","-282.900","14000.2","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.218","0.023","-311.700","13993.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.633","0.028","-285.600","14001.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.986","0.033","-361.200","13992.8","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.112","0.037","-319.500","14000.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","8.730","0.041","-155.700","13993.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","8.919","0.045","-87.300","14001.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.361","0.048","-228.600","13996.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.340","0.052","-150.600","14001.1","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.524","0.056","-76.500","13998.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.868","0.060","-184.200","14000.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","9.919","0.063","-102.600","13999.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.103","0.067","-165.300","13990.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.237","0.070","-106.800","13959.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.374","0.073","-165.000","13901.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.464","0.077","-105.000","13850.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.549","0.082","-161.700","13783.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.579","0.087","-102.900","13726.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.642","0.091","-146.400","13654.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.730","0.095","-168.900","13592.5","6.000","6.000","12.438","6.500","0.044"
