"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.723","0.000","-295.800","13992.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.122","0.000","-290.700","14000.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.555","0.010","-271.200","13993.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.018","0.018","-314.400","14001.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.393","0.023","-273.900","13994.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.822","0.028","-326.700","14000.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.180","0.032","-264.900","13994.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.528","0.037","-263.700","14000.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.594","0.041","-101.400","13997.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.030","0.044","-157.500","13999.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.163","0.048","-215.100","13998.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.251","0.051","-151.800","13997.4","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.429","0.055","-147.600","14000.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.601","0.058","-176.700","13996.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.618","0.061","-155.100","14002.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.700","0.063","-142.800","13987.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.752","0.066","-158.400","13961.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.727","0.069","-138.300","13900.8","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.712","0.073","-156.600","13850.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.609","0.077","-133.500","13784.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.571","0.081","-140.400","13725.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.461","0.085","-129.000","13655.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.436","0.088","-180.000","13589.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.314","0.092","-165.000","13519.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.248","0.096","-171.600","13442.8","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.080","0.100","-124.800","13368.1","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.054","0.103","-163.800","13282.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","9.854","0.107","-139.500","13209.4","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.740","0.110","-132.900","13125.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.593","0.114","-147.600","13058.8","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.414","0.117","-105.900","12985.8","7.000","7.000","11.722","6.189","0.060"
