"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.462","0.000","-272.100","13995.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.012","0.000","-282.300","13994.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.365","0.010","-296.700","13998.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.797","0.018","-306.300","13993.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.228","0.023","-264.900","14000.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.677","0.028","-324.900","13993.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.994","0.032","-300.600","14001.6","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.246","0.037","-218.700","13994.3","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.465","0.040","-118.800","14002.4","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.904","0.044","-122.400","13993.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.938","0.048","-239.100","14001.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.087","0.051","-123.000","13995.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.336","0.054","-162.900","14001.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.452","0.057","-157.200","13997.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.538","0.060","-170.100","14000.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.607","0.063","-126.000","13991.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.706","0.066","-163.200","13955.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.656","0.068","-132.000","13905.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.734","0.072","-146.100","13841.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.661","0.076","-125.100","13785.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.719","0.080","-123.900","13713.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.618","0.084","-138.300","13653.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.686","0.087","-143.400","13577.5","6.000","6.000","12.438","6.500","0.044"
