"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.480","0.000","-286.200","13994.9","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.827","0.000","-312.000","13997.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.235","0.010","-245.400","13996.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.735","0.018","-329.700","13995.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.058","0.023","-277.500","13997.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.483","0.028","-306.000","13994.8","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.845","0.033","-313.200","14001.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.103","0.037","-209.700","13994.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.303","0.041","-150.900","14001.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.539","0.045","-112.800","13994.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.861","0.048","-232.500","14002.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.829","0.052","-134.100","13994.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.094","0.055","-165.300","14001.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.173","0.058","-159.600","13996.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.316","0.062","-150.600","14001.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.377","0.065","-155.700","13990.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.470","0.068","-132.000","13957.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.503","0.070","-130.200","13904.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.601","0.074","-134.700","13843.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.612","0.078","-134.100","13784.5","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.631","0.083","-104.400","13714.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.685","0.087","-142.200","13654.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.658","0.090","-160.500","13578.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.681","0.094","-180.300","13512.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.596","0.097","-150.300","13429.3","6.000","7.000","12.389","6.456","0.048"
