"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.509","0.000","-251.100","13994.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.015","0.000","-294.900","13998.4","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.384","0.010","-301.200","13993.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.817","0.018","-273.600","13999.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.272","0.023","-293.400","13993.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.741","0.028","-312.600","14001.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.047","0.032","-294.000","13993.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.428","0.037","-228.300","14001.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.540","0.040","-120.600","13994.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.893","0.044","-147.900","14001.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.135","0.048","-204.900","13996.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.199","0.051","-174.000","14001.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.329","0.054","-122.700","13998.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.574","0.057","-195.600","14000.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.582","0.060","-139.800","13999.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.690","0.063","-146.400","13990.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.728","0.066","-149.700","13959.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.747","0.068","-140.400","13902.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.749","0.072","-143.700","13850.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.675","0.076","-132.000","13784.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.657","0.079","-140.700","13728.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.541","0.083","-115.800","13656.1","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.546","0.087","-177.600","13594.6","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.423","0.090","-161.700","13518.9","6.000","7.000","12.500","6.500","0.046"
