"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.576","0.000","-250.200","13994.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.999","0.000","-305.100","13999.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.335","0.010","-285.600","13996.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.870","0.018","-272.700","13995.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.255","0.023","-300.000","13997.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.595","0.028","-320.400","13994.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.986","0.033","-255.900","14000.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.228","0.037","-258.900","13994.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.383","0.041","-113.400","14002.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.838","0.045","-124.500","13994.4","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.909","0.048","-214.800","14002.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.055","0.052","-154.500","13994.4","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.224","0.055","-153.900","14002.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.433","0.058","-142.800","13995.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.455","0.061","-186.600","14001.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.549","0.064","-123.300","13989.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.609","0.067","-164.700","13958.2","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.676","0.070","-108.600","13904.2","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.685","0.073","-175.200","13843.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.628","0.078","-109.500","13785.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.710","0.082","-133.200","13717.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.620","0.085","-132.000","13656.0","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.683","0.089","-169.200","13580.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.537","0.093","-186.000","13514.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.553","0.096","-134.400","13432.4","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.421","0.099","-169.800","13359.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.392","0.103","-122.700","13275.4","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.198","0.106","-169.500","13199.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.127","0.109","-98.400","13124.9","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.988","0.112","-167.400","13050.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.780","0.114","-99.000","12989.6","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.759","0.117","-118.500","12922.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.464","0.120","-129.000","12873.9","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.465","0.123","-80.700","12817.2","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.194","0.126","-139.800","12771.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.137","0.128","-68.100","12723.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.924","0.131","-136.200","12672.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.777","0.134","-68.100","12630.8","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.727","0.137","-104.100","12574.6","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.420","0.140","-111.600","12529.5","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.455","0.143","-60.300","12471.9","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.176","0.146","-128.100","12415.2","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.142","0.149","-59.100","12358.2","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.975","0.152","-112.200","12289.9","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.836","0.155","-80.100","12230.7","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.806","0.158","-80.700","12157.8","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.556","0.161","-114.300","12091.3","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.557","0.164","-56.100","12021.2","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.385","0.167","-107.700","11945.7","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.290","0.170","-78.900","11879.8","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.228","0.173","-79.800","11802.3","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.070","0.176","-103.200","11732.7","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.008","0.179","-69.600","11662.9","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.899","0.182","-94.800","11587.4","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.765","0.185","-96.300","11524.5","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.719","0.187","-60.900","11453.2","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.610","0.190","-104.700","11387.0","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.515","0.193","-67.200","11328.6","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.460","0.196","-78.300","11260.8","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.312","0.199","-93.300","11204.9","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.281","0.202","-59.700","11144.5","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.164","0.205","-94.200","11079.7","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.062","0.208","-79.800","11024.0","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.062","0.212","-69.900","10957.7","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.927","0.216","-118.800","10892.0","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.904","0.219","-68.100","10831.4","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.880","0.223","-99.600","10758.4","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.798","0.228","-115.500","10690.7","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.780","0.232","-84.000","10622.8","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.778","0.236","-115.500","10545.1","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.708","0.241","-120.900","10476.3","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.736","0.245","-96.300","10404.3","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.723","0.250","-134.400","10326.0","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.671","0.254","-123.300","10257.7","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.724","0.259","-108.000","10184.2","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.679","0.264","-142.200","10106.8","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.661","0.268","-125.700","10039.2","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.687","0.273","-124.200","9966.1","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.677","0.278","-141.900","9889.1","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.644","0.283","-133.200","9821.3","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.691","0.287","-127.800","9748.2","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.684","0.292","-143.700","9669.7","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.652","0.297","-135.900","9600.2","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.699","0.302","-130.800","9526.0","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.685","0.307","-144.600","9445.5","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.660","0.311","-144.300","9372.2","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.688","0.316","-131.700","9297.8","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.696","0.321","-153.900","9215.9","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.643","0.326","-149.400","9138.4","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.690","0.331","-129.900","9064.3","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.684","0.336","-151.200","8982.3","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.654","0.341","-147.900","8900.5","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.677","0.346","-136.800","8825.1","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.683","0.351","-149.700","8744.0","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.664","0.355","-146.700","8659.1","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.665","0.360","-142.500","8579.8","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.683","0.365","-145.800","8500.5","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.679","0.370","-148.200","8413.6","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.679","0.375","-147.300","8328.5","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.677","0.380","-150.900","8247.9","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.696","0.385","-143.100","8162.0","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.693","0.390","-149.400","8072.5","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.686","0.395","-155.400","7986.6","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.676","0.400","-148.500","7902.8","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.687","0.405","-140.700","7812.5","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.699","0.410","-152.400","7720.0","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.674","0.415","-157.800","7632.0","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.679","0.420","-144.000","7545.2","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.710","0.425","-138.600","7453.1","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.718","0.430","-160.500","7360.2","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.675","0.435","-155.100","7272.0","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.693","0.440","-143.400","7184.8","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.717","0.445","-145.500","7092.8","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.709","0.450","-162.000","6999.3","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.674","0.456","-156.900","6909.1","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.682","0.461","-145.500","6821.8","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.699","0.466","-146.400","6730.8","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.698","0.471","-155.700","6637.0","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.679","0.476","-155.700","6544.8","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.667","0.481","-153.600","6456.3","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.684","0.486","-146.400","6370.7","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.685","0.491","-151.500","6287.9","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.677","0.496","-161.700","6208.3","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.663","0.502","-155.400","6132.9","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.664","0.507","-152.700","6059.7","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.660","0.512","-153.900","5983.3","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.663","0.517","-159.300","5906.7","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.655","0.522","-157.200","5831.3","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.647","0.528","-159.900","5757.1","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.624","0.533","-157.800","5683.8","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.629","0.538","-149.400","5607.0","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.631","0.543","-156.900","5527.8","9.000","9.000","6.434","4.268","0.262"
"132","2","6.000","5.629","0.549","-155.400","5448.8","9.000","9.000","6.433","4.266","0.264"
"133","2","6.000","5.637","0.554","-158.700","5370.4","9.000","9.000","6.432","4.264","0.266"
"134","2","6.000","5.616","0.560","-162.600","5292.9","9.000","9.000","6.431","4.261","0.268"
"135","2","6.000","5.630","0.565","-152.400","5213.6","9.000","9.000","6.429","4.259","0.270"
"136","2","6.000","5.644","0.570","-157.500","5131.7","9.000","9.000","6.428","4.256","0.272"
"137","2","6.000","5.649","0.576","-164.100","5050.3","9.000","9.000","6.427","4.254","0.274"
"138","2","6.000","5.644","0.581","-158.400","4968.9","9.000","9.000","6.426","4.252","0.276"
"139","2","6.000","5.648","0.587","-159.900","4888.4","9.000","9.000","6.425","4.249","0.278"
"140","2","6.000","5.635","0.592","-165.000","4809.5","9.000","9.000","6.424","4.247","0.280"
