"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.580","0.000","-289.200","13992.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.051","0.000","-300.300","13997.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.372","0.010","-286.800","13996.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.855","0.018","-273.000","13997.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.281","0.023","-311.400","13998.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.704","0.028","-293.100","13994.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.093","0.032","-297.000","13999.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.342","0.037","-233.700","13993.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.530","0.041","-113.400","14002.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.861","0.044","-161.100","13995.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.052","0.048","-190.800","14003.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.128","0.051","-162.900","13994.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.325","0.055","-150.000","14002.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.464","0.058","-162.000","13995.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.542","0.061","-156.600","14002.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.611","0.064","-141.900","13989.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.680","0.066","-155.100","13958.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.678","0.069","-126.900","13902.8","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.726","0.073","-158.400","13843.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.628","0.077","-120.900","13783.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.634","0.081","-141.600","13714.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.552","0.085","-126.000","13651.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.566","0.088","-162.900","13576.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.494","0.092","-179.700","13511.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.418","0.095","-141.300","13428.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.348","0.099","-153.300","13354.5","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.254","0.102","-129.000","13270.0","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.156","0.105","-158.100","13194.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.977","0.108","-107.400","13119.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.933","0.111","-158.100","13044.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.680","0.114","-100.800","12983.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.666","0.117","-126.900","12915.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.422","0.120","-124.200","12866.7","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.307","0.123","-89.700","12810.3","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.156","0.126","-132.600","12764.8","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.975","0.129","-79.800","12716.2","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.887","0.132","-132.000","12666.0","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.620","0.135","-70.200","12623.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.633","0.138","-116.700","12566.9","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.334","0.141","-100.500","12521.3","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.291","0.144","-75.000","12462.8","7.000","7.000","10.611","5.744","0.080"
