"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.826","0.000","-271.500","13992.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.138","0.000","-294.600","14000.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.658","0.010","-254.700","13993.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.073","0.018","-309.600","13999.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.449","0.023","-281.400","13994.4","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.917","0.028","-288.300","13999.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.270","0.033","-293.400","13997.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.440","0.037","-245.700","13998.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.734","0.041","-85.200","13998.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.108","0.044","-171.600","13996.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.138","0.048","-195.300","14000.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.319","0.051","-164.400","13995.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.489","0.055","-139.200","14002.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.609","0.058","-187.500","13996.0","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.634","0.061","-150.600","14004.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.761","0.064","-148.800","13987.4","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.726","0.067","-155.400","13960.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.761","0.069","-136.200","13900.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.710","0.073","-155.400","13846.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.670","0.077","-133.200","13781.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.592","0.081","-143.100","13719.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.523","0.085","-123.600","13652.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.467","0.089","-190.200","13581.9","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.350","0.093","-166.500","13513.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.251","0.097","-177.300","13432.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.128","0.100","-127.500","13359.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.059","0.104","-167.700","13272.4","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","9.833","0.107","-139.200","13200.5","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.804","0.111","-130.500","13120.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.575","0.115","-154.800","13052.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.501","0.118","-102.600","12985.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.333","0.122","-155.100","12922.7","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.176","0.125","-102.900","12871.7","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.070","0.129","-138.300","12812.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","8.886","0.132","-103.200","12770.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.835","0.136","-124.800","12716.3","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.559","0.139","-127.200","12672.1","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.578","0.143","-79.200","12623.1","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.341","0.146","-156.300","12570.7","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.239","0.150","-78.000","12524.9","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.170","0.154","-126.300","12463.9","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","7.966","0.157","-108.900","12413.2","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.958","0.161","-101.100","12349.3","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.717","0.165","-129.300","12286.3","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.735","0.168","-74.700","12224.0","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.530","0.172","-144.900","12150.1","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.441","0.176","-85.200","12087.0","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.406","0.179","-110.100","12011.9","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.201","0.183","-122.100","11941.1","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.219","0.187","-76.200","11871.7","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.042","0.190","-136.200","11793.3","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","6.978","0.194","-88.500","11727.1","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.926","0.197","-103.500","11651.3","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.763","0.201","-125.700","11579.6","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.729","0.204","-78.600","11514.2","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.623","0.208","-114.300","11439.7","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.502","0.211","-107.400","11379.2","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.476","0.214","-79.800","11314.2","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.332","0.217","-128.700","11248.4","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.260","0.221","-72.300","11193.4","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.207","0.224","-104.100","11127.9","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.036","0.228","-107.700","11067.4","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.046","0.232","-67.800","11009.8","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","5.936","0.236","-128.100","10940.2","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.820","0.240","-105.600","10880.4","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.847","0.245","-92.700","10813.9","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.711","0.249","-144.000","10741.4","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.685","0.254","-93.900","10677.5","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.693","0.259","-123.300","10603.5","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.578","0.264","-150.000","10528.7","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.601","0.269","-94.500","10461.3","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.601","0.274","-144.300","10384.6","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.497","0.279","-155.100","10309.5","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.575","0.284","-105.600","10241.3","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.547","0.290","-169.200","10163.9","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.474","0.295","-148.500","10089.9","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.557","0.301","-122.100","10022.1","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.504","0.306","-181.800","9945.3","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.465","0.311","-146.400","9871.6","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.533","0.317","-133.200","9803.8","8.000","9.000","6.495","4.391","0.158"
