"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.416","0.000","-305.700","13998.9","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.897","0.000","-262.500","13991.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.270","0.010","-307.500","13998.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.641","0.018","-297.000","13994.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.072","0.023","-279.900","13999.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.473","0.028","-303.600","13996.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.815","0.032","-307.500","13997.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.001","0.037","-206.700","13998.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.276","0.041","-131.400","13995.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.627","0.044","-118.500","14000.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.716","0.048","-229.800","13995.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.824","0.052","-133.500","14002.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.111","0.055","-154.500","13995.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.146","0.058","-170.400","14003.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.305","0.061","-146.100","13995.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.342","0.064","-156.900","13995.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.472","0.067","-125.100","13953.8","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.475","0.070","-154.500","13906.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.550","0.074","-122.700","13845.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.510","0.078","-150.000","13787.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.555","0.082","-102.900","13722.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.544","0.086","-155.400","13655.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.568","0.090","-136.800","13590.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.568","0.094","-198.000","13515.8","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.456","0.097","-142.500","13446.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.527","0.100","-138.900","13360.5","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.355","0.103","-153.000","13287.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.357","0.106","-121.200","13202.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.166","0.109","-153.600","13130.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.119","0.112","-104.700","13054.8","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.933","0.115","-148.200","12984.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.836","0.117","-91.500","12924.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.690","0.120","-139.500","12861.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.479","0.122","-92.400","12814.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.473","0.125","-96.000","12758.8","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.146","0.127","-130.200","12715.7","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.155","0.130","-58.800","12665.9","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.899","0.133","-124.500","12617.4","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.797","0.135","-68.100","12572.9","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.636","0.138","-108.300","12516.3","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.442","0.140","-75.300","12469.8","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.428","0.143","-76.500","12408.7","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.124","0.146","-109.500","12352.0","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.154","0.148","-45.000","12290.4","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.931","0.151","-110.700","12221.3","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.838","0.154","-62.700","12159.9","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.765","0.156","-80.400","12085.0","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.562","0.159","-90.300","12018.3","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.568","0.162","-58.500","11946.5","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.361","0.164","-105.300","11870.8","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.308","0.167","-56.400","11804.1","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.231","0.170","-78.900","11726.0","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.075","0.172","-88.500","11656.6","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.054","0.175","-52.500","11585.8","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.922","0.177","-92.100","11510.9","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.826","0.180","-65.700","11448.5","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.799","0.182","-63.300","11378.0","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.626","0.185","-98.700","11313.8","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.607","0.187","-35.100","11256.4","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.521","0.189","-90.000","11189.1","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.360","0.192","-68.700","11133.6","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.399","0.195","-37.200","11072.7","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.228","0.198","-102.300","11007.6","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.186","0.201","-48.000","10951.1","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.185","0.204","-72.300","10883.9","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.011","0.207","-112.500","10817.1","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.070","0.211","-39.600","10754.7","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","6.016","0.214","-113.100","10681.0","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.884","0.218","-101.400","10611.1","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.988","0.222","-48.600","10543.1","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.919","0.226","-138.300","10465.0","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.821","0.230","-93.900","10394.7","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.950","0.234","-66.300","10323.3","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.819","0.238","-156.300","10244.6","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.793","0.242","-79.500","10174.9","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.927","0.246","-90.600","10102.6","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.772","0.250","-163.800","10024.8","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.789","0.254","-76.800","9956.2","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.910","0.258","-106.200","9884.5","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.757","0.263","-167.700","9806.4","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.766","0.267","-81.900","9736.7","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.901","0.271","-113.100","9665.2","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.735","0.275","-172.800","9585.9","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.751","0.280","-86.700","9513.8","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.871","0.284","-114.000","9441.6","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.724","0.288","-168.000","9360.8","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.708","0.293","-103.200","9284.5","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.840","0.297","-108.900","9211.7","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.724","0.301","-164.400","9130.4","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.675","0.306","-113.100","9049.9","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.813","0.310","-103.800","8976.1","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.740","0.315","-158.700","8894.9","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.676","0.319","-129.300","8811.2","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.763","0.324","-108.000","8734.3","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.762","0.328","-144.300","8655.0","8.000","9.000","6.478","4.355","0.188"
