"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.747","0.000","-237.000","13998.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.111","0.000","-301.200","13996.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.455","0.010","-324.000","13997.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.950","0.018","-245.100","13997.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.272","0.023","-340.800","13994.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.690","0.028","-271.800","13998.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.056","0.033","-296.100","13994.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.134","0.037","-250.200","14001.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.492","0.041","-93.600","13993.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.785","0.045","-151.500","14001.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.873","0.048","-197.700","13993.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.959","0.052","-176.100","14002.1","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.302","0.055","-108.300","13995.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.328","0.059","-202.200","14001.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.472","0.062","-133.200","13996.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.555","0.065","-155.700","13993.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.681","0.068","-120.000","13957.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.719","0.071","-156.300","13904.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.757","0.075","-129.000","13850.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.790","0.079","-133.500","13786.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.809","0.083","-116.700","13729.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.809","0.087","-150.300","13657.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.826","0.091","-147.300","13596.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.834","0.094","-182.700","13518.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.689","0.098","-170.100","13450.1","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.740","0.101","-127.800","13365.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.562","0.104","-164.700","13288.6","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.504","0.107","-127.500","13207.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.316","0.110","-155.700","13129.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.228","0.113","-106.200","13059.9","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.054","0.115","-139.500","12985.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.889","0.118","-114.000","12926.5","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.780","0.121","-109.500","12859.9","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.541","0.123","-120.000","12809.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.502","0.126","-83.400","12756.8","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.188","0.128","-135.600","12707.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.156","0.131","-65.700","12664.0","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.942","0.134","-114.000","12610.8","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.794","0.137","-88.800","12569.2","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.689","0.139","-82.500","12513.5","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.466","0.142","-102.900","12464.6","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.463","0.145","-63.600","12409.2","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.178","0.148","-119.700","12347.4","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.179","0.151","-56.100","12291.9","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.003","0.154","-96.000","12220.9","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.858","0.156","-93.300","12159.3","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.813","0.159","-65.400","12088.3","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.606","0.162","-105.000","12015.7","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.590","0.165","-61.800","11950.1","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.418","0.168","-95.700","11871.1","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.338","0.171","-81.000","11803.7","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.270","0.173","-69.300","11729.1","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.104","0.176","-99.000","11653.4","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.063","0.179","-66.300","11587.4","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.952","0.181","-79.500","11510.4","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.814","0.184","-91.200","11444.4","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.795","0.187","-58.500","11377.9","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.643","0.189","-90.300","11308.2","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.560","0.192","-73.500","11251.4","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.530","0.194","-57.000","11186.5","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.346","0.197","-100.500","11125.0","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.343","0.200","-43.500","11069.7","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.246","0.203","-83.400","11002.8","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.121","0.207","-91.200","10943.9","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.149","0.210","-54.900","10881.9","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.002","0.214","-114.300","10811.2","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.980","0.217","-80.700","10749.4","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.975","0.221","-80.100","10679.2","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.866","0.225","-123.000","10605.1","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.876","0.229","-82.200","10539.0","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.864","0.233","-102.900","10463.1","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.751","0.238","-129.900","10387.7","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.809","0.242","-82.800","10319.3","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.768","0.246","-132.600","10241.9","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.699","0.251","-128.700","10167.1","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.780","0.255","-90.000","10098.4","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.714","0.260","-148.500","10021.4","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.694","0.265","-121.500","9947.7","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.754","0.269","-102.900","9879.7","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.706","0.274","-152.100","9802.8","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.667","0.279","-129.300","9728.1","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.734","0.283","-108.300","9659.3","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.684","0.288","-157.200","9582.0","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.661","0.293","-132.900","9504.9","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.730","0.297","-121.500","9434.6","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.679","0.302","-155.100","9356.3","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.646","0.307","-139.800","9276.2","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.693","0.312","-127.200","9203.5","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.684","0.317","-149.700","9125.4","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.619","0.321","-146.700","9042.4","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.676","0.326","-125.700","8966.1","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.668","0.331","-148.500","8889.1","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.613","0.336","-156.900","8805.0","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.634","0.341","-132.000","8723.7","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.649","0.346","-141.300","8647.2","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.605","0.351","-156.300","8563.4","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.598","0.356","-147.900","8477.5","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.612","0.361","-140.100","8397.4","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.606","0.366","-148.200","8315.6","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.583","0.371","-159.300","8227.1","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.564","0.376","-146.700","8140.2","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.609","0.381","-135.600","8058.0","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.583","0.386","-159.900","7970.5","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.537","0.391","-159.900","7879.1","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.555","0.396","-143.400","7791.0","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.588","0.402","-142.200","7705.9","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.538","0.407","-171.600","7615.1","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.513","0.412","-155.400","7522.2","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.546","0.417","-144.300","7438.7","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.552","0.423","-157.200","7388.7","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.501","0.428","-170.400","7323.6","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.460","0.433","-162.600","7241.9","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.504","0.439","-144.600","7169.5","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.515","0.444","-158.700","7098.0","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.442","0.450","-180.900","7022.9","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.414","0.455","-155.100","6950.3","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.468","0.461","-150.300","6880.8","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.478","0.466","-163.200","6812.5","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.450","0.472","-171.300","6738.5","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.419","0.477","-166.800","6663.0","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.428","0.483","-155.700","6588.8","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.465","0.489","-160.500","6516.4","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.475","0.494","-170.400","6441.2","9.000","9.000","6.445","4.289","0.244"
