"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.613","0.000","-305.700","13999.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.965","0.000","-272.100","13992.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.437","0.010","-300.600","13998.6","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.775","0.018","-282.600","13994.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.224","0.023","-315.600","13999.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.632","0.028","-278.100","13997.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.000","0.033","-347.700","13997.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.150","0.037","-200.100","13998.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.495","0.041","-118.200","13995.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.767","0.045","-156.900","14000.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.015","0.048","-188.700","13995.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.070","0.052","-164.700","14002.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.334","0.055","-128.400","13995.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.472","0.058","-185.700","14003.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.588","0.061","-122.700","13995.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.730","0.064","-175.200","13994.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.772","0.067","-107.400","13953.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.902","0.070","-161.400","13905.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.891","0.073","-122.400","13844.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.943","0.077","-157.200","13785.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.883","0.081","-93.300","13722.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.968","0.085","-158.400","13653.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.865","0.088","-145.500","13588.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.921","0.092","-179.700","13511.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.767","0.095","-152.400","13441.8","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.762","0.098","-132.300","13355.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.632","0.101","-157.800","13282.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.502","0.103","-109.200","13197.7","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.402","0.106","-160.800","13125.9","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.193","0.108","-95.400","13052.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.127","0.111","-137.700","12983.4","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.884","0.113","-90.900","12925.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.810","0.116","-123.000","12862.3","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.514","0.118","-93.900","12815.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.468","0.121","-84.300","12760.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.220","0.123","-129.600","12716.8","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.027","0.126","-58.800","12668.1","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.934","0.128","-113.700","12618.4","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.682","0.131","-69.600","12574.3","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.619","0.133","-95.400","12517.2","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.357","0.136","-78.900","12470.5","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.331","0.139","-75.600","12409.7","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.102","0.142","-104.100","12352.2","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.992","0.145","-53.400","12291.1","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.906","0.148","-105.900","12221.6","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.684","0.150","-72.000","12160.2","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.664","0.153","-82.200","12085.7","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.442","0.156","-97.800","12018.5","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.390","0.159","-66.000","11947.9","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.259","0.162","-98.700","11871.6","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.128","0.165","-71.700","11805.2","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.076","0.168","-81.600","11727.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.926","0.171","-93.300","11657.6","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.860","0.174","-67.800","11588.2","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.755","0.177","-93.000","11512.7","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.648","0.180","-84.600","11450.3","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.568","0.183","-68.400","11380.4","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.475","0.185","-99.000","11315.2","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.362","0.188","-66.900","11258.3","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.314","0.191","-82.200","11190.8","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.185","0.194","-87.900","11134.1","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.117","0.197","-60.900","11074.4","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.054","0.201","-93.600","11007.8","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","5.953","0.204","-82.800","10951.7","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.923","0.208","-85.500","10884.5","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.833","0.212","-104.400","10816.7","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.793","0.216","-89.100","10754.2","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.764","0.220","-105.300","10680.7","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.700","0.225","-113.100","10610.1","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.685","0.229","-97.200","10542.8","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.671","0.234","-117.600","10464.6","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.623","0.238","-125.100","10393.8","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.614","0.243","-105.300","10323.2","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.611","0.248","-136.800","10244.3","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.573","0.252","-123.000","10174.3","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.583","0.257","-124.500","10102.9","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.562","0.262","-137.700","10024.9","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.569","0.267","-132.300","9955.6","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.550","0.272","-134.100","9884.9","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.568","0.277","-137.700","9806.4","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.578","0.282","-145.200","9736.3","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.558","0.287","-136.200","9665.0","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.593","0.292","-141.900","9585.6","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.586","0.297","-151.800","9512.7","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.572","0.302","-143.400","9440.9","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.590","0.307","-141.300","9360.4","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.600","0.312","-158.100","9283.7","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.572","0.317","-146.100","9211.0","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.601","0.322","-139.800","9130.2","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.591","0.327","-160.800","9049.3","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.561","0.332","-149.400","8975.5","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.573","0.337","-148.500","8894.9","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.579","0.342","-152.100","8811.1","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.559","0.348","-153.000","8734.0","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.553","0.353","-147.600","8655.1","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.557","0.358","-156.900","8569.6","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.550","0.363","-151.800","8486.4","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.552","0.368","-154.500","8407.8","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.538","0.374","-154.500","8322.6","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.552","0.379","-148.200","8234.5","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.545","0.384","-160.800","8151.2","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.544","0.389","-157.800","8067.8","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.543","0.395","-150.900","7977.9","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.553","0.400","-155.400","7887.7","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.554","0.405","-168.900","7803.2","8.000","9.000","6.466","4.332","0.208"
