"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.737","0.000","-253.200","13997.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.208","0.000","-311.100","13993.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.496","0.010","-295.800","14000.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.063","0.018","-255.900","13993.2","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.411","0.023","-336.900","14001.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.811","0.028","-279.000","13993.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.197","0.032","-301.200","14001.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.382","0.037","-227.100","13994.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.613","0.041","-126.300","14000.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.983","0.044","-125.100","13996.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.122","0.048","-226.500","14001.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.221","0.051","-136.500","13998.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.468","0.055","-169.500","13999.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.552","0.058","-146.700","13999.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.685","0.061","-167.700","13996.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.702","0.064","-147.300","13993.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.802","0.066","-142.500","13954.2","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.806","0.069","-132.600","13907.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.844","0.073","-158.700","13842.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.701","0.077","-142.200","13786.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.739","0.081","-112.200","13716.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.650","0.085","-158.100","13655.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.626","0.088","-151.200","13582.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.544","0.092","-191.100","13513.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.404","0.095","-142.500","13436.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.338","0.099","-162.900","13354.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.183","0.102","-130.800","13277.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.104","0.105","-150.900","13193.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.895","0.109","-129.300","13124.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.837","0.112","-126.600","13045.7","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.588","0.115","-136.500","12984.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.525","0.118","-105.900","12918.6","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.309","0.121","-144.300","12863.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.158","0.125","-88.500","12811.1","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.058","0.128","-132.900","12757.5","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.825","0.131","-100.500","12715.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.768","0.134","-108.000","12661.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.520","0.138","-107.400","12619.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.515","0.141","-90.300","12566.6","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.271","0.144","-132.300","12515.4","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.200","0.148","-67.200","12465.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.102","0.151","-128.100","12403.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.891","0.155","-93.900","12350.0","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.893","0.158","-94.500","12282.2","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.663","0.162","-117.000","12219.5","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.649","0.165","-81.000","12152.4","7.000","7.000","10.056","5.522","0.090"
