"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.436","0.000","-284.700","13992.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.851","0.000","-306.000","14000.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.249","0.010","-264.900","13994.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.638","0.018","-366.900","14000.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","7.899","0.023","-225.000","13995.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.431","0.028","-360.600","13999.8","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.698","0.033","-268.200","13996.6","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.008","0.037","-256.800","13998.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.090","0.041","-104.400","13998.2","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.381","0.045","-169.800","13995.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.607","0.048","-190.800","14000.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.647","0.052","-172.200","13995.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.777","0.056","-179.700","14002.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.843","0.059","-165.300","13995.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","9.865","0.062","-147.600","14004.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.002","0.065","-124.500","13987.4","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.108","0.068","-186.600","13960.8","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.054","0.072","-59.400","13901.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.286","0.076","-190.500","13847.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.199","0.080","-86.400","13782.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.286","0.085","-143.100","13720.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.277","0.089","-113.700","13653.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.349","0.094","-178.800","13583.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.378","0.098","-171.300","13515.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.396","0.102","-164.400","13433.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.365","0.105","-157.800","13360.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.336","0.109","-125.700","13273.3","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.338","0.112","-186.600","13201.5","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.166","0.115","-95.400","13121.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.206","0.118","-185.100","13053.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.967","0.121","-83.400","12986.1","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.013","0.123","-158.400","12923.1","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.761","0.126","-108.300","12871.9","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.678","0.129","-94.200","12812.8","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.573","0.131","-139.200","12769.9","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.351","0.133","-67.200","12716.3","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.314","0.136","-140.100","12672.0","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.002","0.138","-51.900","12623.2","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.035","0.141","-130.800","12570.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.701","0.143","-73.800","12524.8","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.649","0.146","-71.700","12464.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.502","0.148","-116.700","12413.3","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.280","0.151","-46.200","12349.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.251","0.153","-113.400","12286.6","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.967","0.156","-52.800","12224.3","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.976","0.158","-95.100","12151.0","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.727","0.161","-80.700","12087.9","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.643","0.163","-57.900","12012.9","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.539","0.166","-100.500","11942.5","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.330","0.169","-51.900","11873.2","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.319","0.171","-93.900","11795.1","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.110","0.174","-73.500","11729.2","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.053","0.177","-62.400","11653.1","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.948","0.179","-99.600","11582.0","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.787","0.182","-53.400","11516.3","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.742","0.185","-80.100","11441.9","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.610","0.187","-90.600","11381.5","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.492","0.190","-50.700","11316.2","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.455","0.192","-96.600","11250.8","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.289","0.195","-59.400","11195.5","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.240","0.198","-69.900","11130.1","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.150","0.201","-85.200","11069.7","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.015","0.205","-50.700","11012.1","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.035","0.208","-99.300","10943.1","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.873","0.212","-86.700","10883.6","7.000","8.000","7.820","4.796","0.128"
