"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.470","0.000","-297.900","13992.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.844","0.000","-306.600","13998.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.163","0.010","-264.000","13995.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.627","0.018","-304.200","13996.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.050","0.023","-273.000","13998.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.474","0.028","-336.000","13995.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.760","0.033","-265.500","14000.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.101","0.037","-236.100","13994.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.208","0.041","-132.300","14002.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.593","0.045","-137.400","13995.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.724","0.049","-206.700","14003.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.840","0.052","-152.700","13995.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.993","0.055","-174.300","14003.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.114","0.059","-137.700","13996.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.245","0.062","-172.500","14002.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.311","0.065","-126.000","13989.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.393","0.068","-174.000","13958.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.387","0.071","-95.700","13903.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.515","0.075","-178.500","13843.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.377","0.079","-123.000","13784.5","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.475","0.083","-129.000","13715.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.392","0.087","-132.000","13653.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.464","0.091","-169.500","13578.7","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.370","0.095","-193.200","13514.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.343","0.099","-137.700","13431.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.276","0.102","-166.800","13357.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.186","0.106","-132.900","13273.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.097","0.109","-168.300","13198.1","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.927","0.112","-115.800","13123.7","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.898","0.115","-161.400","13049.5","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.635","0.118","-115.200","12988.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.627","0.121","-123.600","12920.8","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.377","0.124","-138.300","12872.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.280","0.127","-90.300","12815.5","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.123","0.130","-133.800","12770.3","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.937","0.133","-89.400","12721.7","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.838","0.136","-128.100","12671.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.600","0.139","-82.500","12628.9","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.584","0.142","-113.400","12572.6","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.297","0.146","-110.100","12527.7","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.262","0.149","-76.200","12468.8","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.080","0.152","-122.400","12412.9","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.932","0.155","-73.200","12354.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.869","0.158","-110.100","12286.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.661","0.162","-88.800","12227.2","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.647","0.165","-90.300","12153.4","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.439","0.168","-109.200","12087.3","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.390","0.172","-78.300","12017.0","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.275","0.175","-107.700","11941.3","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.152","0.178","-86.400","11875.3","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.108","0.181","-88.800","11797.6","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","6.973","0.185","-103.500","11728.2","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.911","0.188","-82.500","11657.5","7.000","8.000","9.260","5.228","0.104"
