"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.633","0.000","-285.600","13997.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.089","0.000","-288.600","13992.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.479","0.010","-280.800","14000.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.928","0.018","-287.400","13993.2","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.312","0.023","-308.700","14001.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.734","0.028","-287.100","13993.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.133","0.032","-296.700","13999.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.351","0.037","-229.200","13994.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.592","0.041","-119.400","14000.2","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.898","0.044","-133.500","13997.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.118","0.048","-214.500","13999.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.149","0.051","-152.400","13999.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.367","0.055","-162.300","13997.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.483","0.058","-149.400","14000.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.595","0.061","-171.600","13996.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.631","0.063","-142.800","13994.4","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.708","0.066","-141.000","13953.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.719","0.069","-140.100","13907.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.724","0.073","-153.900","13841.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.671","0.077","-133.800","13787.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.619","0.081","-123.000","13717.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.588","0.085","-149.400","13654.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.516","0.088","-154.500","13581.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.496","0.092","-190.200","13511.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.349","0.095","-140.100","13435.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.324","0.099","-154.500","13353.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.159","0.102","-135.600","13278.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.072","0.105","-150.000","13193.7","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.898","0.109","-127.200","13125.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.783","0.112","-135.000","13047.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.596","0.115","-124.200","12985.6","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.486","0.118","-111.900","12921.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.340","0.121","-139.500","12865.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.134","0.124","-84.000","12816.4","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.087","0.127","-126.000","12762.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.838","0.131","-102.000","12720.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.772","0.134","-109.500","12667.3","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.570","0.137","-102.300","12624.4","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.482","0.140","-96.600","12572.8","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.309","0.144","-124.800","12520.0","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.149","0.147","-70.500","12470.6","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.115","0.150","-124.200","12407.3","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.864","0.154","-91.500","12353.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.850","0.157","-100.800","12286.0","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.647","0.160","-107.400","12221.8","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.564","0.164","-87.000","12155.8","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.433","0.167","-117.900","12081.3","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.289","0.171","-80.100","12017.5","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.252","0.174","-117.900","11940.8","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.050","0.177","-93.000","11870.4","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.026","0.181","-87.000","11799.9","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","6.885","0.184","-112.800","11722.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.790","0.188","-84.000","11656.7","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.726","0.191","-108.600","11581.4","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.588","0.194","-97.200","11511.5","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.535","0.198","-89.700","11448.1","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.435","0.201","-103.800","11376.2","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.335","0.204","-93.900","11318.2","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.287","0.208","-87.000","11255.4","7.000","8.000","8.540","5.012","0.116"
