"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.504","0.000","-286.200","13992.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.760","0.000","-324.000","13999.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.212","0.010","-253.500","13992.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.639","0.018","-305.400","13999.0","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.060","0.023","-279.000","13994.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.446","0.028","-309.300","13998.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.816","0.033","-280.200","13996.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.092","0.037","-231.300","13996.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.253","0.041","-128.700","13998.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.647","0.045","-143.400","13995.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.767","0.049","-189.000","14000.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.864","0.052","-190.500","13995.4","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.110","0.056","-107.700","14003.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.264","0.059","-201.900","13995.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.295","0.062","-135.600","14003.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.507","0.065","-139.500","13987.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.511","0.068","-158.100","13960.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.639","0.071","-111.300","13900.9","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.660","0.074","-163.500","13846.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.687","0.079","-111.600","13781.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.693","0.083","-142.800","13718.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.702","0.087","-110.700","13652.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.757","0.090","-189.300","13582.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.697","0.094","-154.800","13514.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.694","0.097","-169.500","13432.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.607","0.100","-128.400","13360.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.612","0.103","-147.600","13273.4","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.416","0.106","-141.000","13202.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.415","0.109","-118.200","13122.7","6.000","7.000","11.944","6.278","0.056"
