"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.635","0.000","-306.600","13999.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.044","0.000","-278.700","13996.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.406","0.010","-298.200","13998.6","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.907","0.018","-259.800","13996.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.318","0.023","-309.000","13995.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.664","0.028","-294.900","13998.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.088","0.033","-275.400","13995.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.182","0.037","-243.600","14001.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.511","0.041","-111.300","13995.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.772","0.044","-150.900","14003.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.878","0.048","-200.100","13994.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.007","0.052","-154.200","14002.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.250","0.055","-148.200","13994.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.319","0.058","-166.200","14002.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.422","0.061","-157.800","13996.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.483","0.064","-148.200","13994.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.557","0.067","-131.400","13957.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.609","0.070","-146.700","13906.2","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.618","0.074","-130.800","13851.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.572","0.078","-150.300","13789.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.568","0.082","-111.300","13730.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.554","0.086","-150.300","13659.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.522","0.090","-157.500","13599.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.485","0.094","-191.100","13522.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.346","0.097","-160.200","13456.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.355","0.101","-135.900","13372.1","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.162","0.104","-173.100","13296.6","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.117","0.108","-118.500","13213.9","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.944","0.111","-162.000","13136.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.849","0.114","-111.600","13064.7","6.000","7.000","11.833","6.233","0.058"
