"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.611","0.000","-287.400","13991.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.971","0.000","-308.100","13999.4","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.441","0.010","-241.500","13993.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.923","0.018","-327.600","13999.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.165","0.023","-305.400","13994.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.515","0.028","-314.700","13997.8","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.904","0.033","-253.800","13996.6","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.153","0.037","-280.800","13997.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.262","0.041","-80.400","13999.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.721","0.045","-156.600","13995.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.829","0.048","-192.600","14001.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.978","0.052","-165.300","13995.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.111","0.055","-144.600","14003.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.313","0.059","-163.200","13995.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.349","0.062","-160.800","14003.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.463","0.065","-133.800","13987.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.516","0.068","-162.000","13960.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.585","0.071","-106.200","13901.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.642","0.074","-174.300","13848.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.574","0.079","-102.300","13783.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.671","0.083","-141.900","13720.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.598","0.087","-117.000","13654.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.672","0.091","-184.200","13583.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.576","0.094","-166.500","13516.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.591","0.098","-161.100","13435.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.472","0.101","-141.000","13362.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.486","0.105","-143.100","13276.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.318","0.108","-154.800","13204.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.225","0.111","-111.600","13124.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.119","0.113","-160.200","13055.0","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.918","0.116","-93.600","12987.5","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.909","0.119","-146.400","12922.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.620","0.122","-105.600","12870.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.590","0.124","-104.400","12810.5","7.000","7.000","11.389","6.056","0.066"
