"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.795","0.000","-309.600","13998.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.034","0.000","-300.600","13996.4","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.521","0.010","-264.600","13997.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.916","0.018","-297.900","13997.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.345","0.023","-301.200","13994.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.721","0.028","-276.000","13999.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.114","0.033","-324.600","13994.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.254","0.037","-210.000","14001.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.551","0.041","-126.000","13994.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.843","0.045","-160.200","14002.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.992","0.049","-191.400","13994.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.031","0.052","-176.700","14002.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.316","0.055","-119.700","13995.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.369","0.059","-213.300","14001.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.478","0.062","-107.400","13997.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.618","0.065","-176.400","13993.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.639","0.068","-117.600","13957.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.730","0.071","-159.000","13904.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.707","0.075","-118.800","13849.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.760","0.079","-154.200","13786.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.679","0.083","-122.400","13728.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.740","0.087","-132.300","13656.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.664","0.091","-172.500","13595.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.694","0.095","-173.400","13517.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.526","0.098","-182.400","13449.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.571","0.102","-104.700","13365.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.428","0.105","-195.300","13288.9","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.289","0.108","-105.000","13207.7","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.238","0.111","-162.900","13130.0","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.028","0.114","-118.200","13060.5","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.991","0.117","-126.600","12986.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.730","0.120","-131.100","12928.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.711","0.123","-96.600","12862.6","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.428","0.126","-144.600","12813.8","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.400","0.129","-64.800","12760.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.199","0.132","-150.300","12711.8","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.006","0.134","-72.300","12667.8","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.992","0.137","-99.000","12615.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.693","0.140","-117.300","12572.9","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.696","0.143","-66.900","12517.1","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.439","0.146","-123.300","12468.7","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.414","0.149","-64.200","12413.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.232","0.152","-115.200","12351.6","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.089","0.155","-77.700","12296.1","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.066","0.158","-82.800","12225.1","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.823","0.161","-113.400","12164.0","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.819","0.164","-59.100","12092.4","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.643","0.167","-105.900","12020.8","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.549","0.170","-81.000","11954.5","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.474","0.173","-77.100","11876.0","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.329","0.176","-102.300","11809.1","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.275","0.178","-65.400","11734.2","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.157","0.181","-92.100","11659.6","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.048","0.184","-90.600","11593.5","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.986","0.187","-63.900","11516.9","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.857","0.189","-100.500","11451.6","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.774","0.192","-68.700","11384.9","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.711","0.194","-74.700","11315.9","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.554","0.197","-92.700","11259.4","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.537","0.200","-50.100","11194.2","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.413","0.203","-97.500","11133.1","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.313","0.206","-62.100","11077.5","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.299","0.209","-64.200","11010.4","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.165","0.212","-97.500","10952.2","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.123","0.216","-67.200","10889.6","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.085","0.219","-90.600","10819.5","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.996","0.223","-102.000","10758.1","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.973","0.227","-81.300","10687.3","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.935","0.231","-105.900","10614.1","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.873","0.235","-107.400","10547.6","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.882","0.239","-90.600","10471.6","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.838","0.243","-122.100","10396.9","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.802","0.248","-107.100","10328.7","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.824","0.252","-111.000","10250.8","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.780","0.257","-128.100","10176.8","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.781","0.261","-112.500","10108.3","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.785","0.266","-124.500","10030.8","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.773","0.270","-125.700","9957.6","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.760","0.275","-125.100","9889.4","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.778","0.279","-127.500","9812.5","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.768","0.284","-131.100","9738.8","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.755","0.289","-128.400","9670.2","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.775","0.293","-136.200","9592.5","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.758","0.298","-131.700","9516.3","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.753","0.303","-137.700","9445.9","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.762","0.307","-133.800","9367.2","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.760","0.312","-138.600","9287.6","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.733","0.317","-141.900","9215.5","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.774","0.322","-133.800","9136.9","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.758","0.326","-140.400","9054.4","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.743","0.331","-139.800","8978.7","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.761","0.336","-134.700","8901.3","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.757","0.341","-145.800","8817.1","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.745","0.345","-141.300","8736.9","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.750","0.350","-138.300","8660.2","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.750","0.355","-144.300","8576.2","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.730","0.360","-140.100","8491.0","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.738","0.364","-141.900","8411.8","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.728","0.369","-148.200","8329.5","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.733","0.374","-140.400","8241.3","8.000","9.000","6.472","4.344","0.198"
