"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.826","0.000","-290.700","13993.1","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.198","0.000","-301.800","14000.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.587","0.010","-280.200","13992.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.065","0.018","-291.900","14001.0","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.458","0.023","-310.200","13992.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.833","0.028","-311.100","13999.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.195","0.033","-300.600","13994.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.380","0.037","-287.100","13999.3","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.397","0.041","-95.100","13996.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.824","0.045","-164.400","13999.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.961","0.048","-187.800","13998.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.148","0.052","-152.100","13997.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.272","0.055","-150.900","13999.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.489","0.058","-134.400","13995.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.607","0.062","-159.000","14001.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.709","0.065","-146.400","13988.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.801","0.068","-126.600","13961.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.922","0.070","-136.200","13900.8","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.971","0.074","-144.000","13850.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.965","0.078","-126.600","13784.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","11.002","0.082","-126.000","13725.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","11.001","0.086","-123.900","13655.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","11.026","0.090","-178.800","13589.7","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.973","0.093","-161.700","13518.9","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.964","0.096","-169.500","13442.1","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.848","0.099","-118.800","13367.1","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.872","0.102","-162.000","13281.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.676","0.105","-125.700","13208.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.620","0.108","-126.300","13125.1","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.467","0.110","-140.700","13058.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.287","0.112","-91.200","12984.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.224","0.115","-136.800","12921.3","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.965","0.117","-88.800","12863.6","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.889","0.119","-118.800","12806.0","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.623","0.122","-74.700","12762.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.581","0.124","-107.400","12706.7","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.291","0.126","-89.100","12665.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.169","0.128","-61.500","12613.7","7.000","7.000","10.944","5.878","0.074"
