"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.716","0.000","-296.100","13999.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.043","0.000","-281.400","13996.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.516","0.010","-288.300","13998.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.918","0.018","-290.400","13997.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.368","0.023","-297.000","13996.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.743","0.028","-276.000","13999.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.212","0.033","-318.300","13994.8","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.383","0.037","-216.000","14001.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.640","0.041","-122.700","13994.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.003","0.045","-139.800","14002.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.166","0.048","-220.200","13995.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.206","0.052","-147.900","14003.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.489","0.055","-144.000","13995.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.601","0.058","-186.000","14002.0","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.667","0.061","-139.800","13996.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.782","0.064","-159.900","13994.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.798","0.067","-132.000","13956.8","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.853","0.069","-160.800","13904.9","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.787","0.073","-133.500","13849.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.774","0.077","-156.900","13788.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.663","0.081","-115.500","13729.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.639","0.085","-154.500","13657.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.519","0.088","-153.000","13596.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.495","0.092","-194.100","13519.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.305","0.095","-156.900","13452.7","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.238","0.099","-129.000","13368.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.108","0.102","-165.600","13293.4","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","9.919","0.106","-128.700","13211.5","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.821","0.109","-150.900","13133.9","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.610","0.112","-117.600","13063.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.526","0.115","-138.600","12988.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.300","0.119","-111.600","12929.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.224","0.122","-131.100","12863.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","8.967","0.126","-114.600","12814.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","8.894","0.129","-102.600","12761.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.699","0.132","-144.900","12713.4","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.520","0.136","-79.500","12669.0","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.466","0.139","-130.200","12616.7","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.226","0.143","-98.400","12575.2","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.192","0.147","-113.700","12519.1","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","7.959","0.150","-107.400","12471.3","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","7.943","0.154","-96.000","12414.8","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.745","0.158","-138.600","12354.4","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.628","0.162","-70.200","12298.3","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.604","0.165","-135.000","12227.4","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.359","0.169","-101.700","12166.5","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.381","0.173","-100.200","12094.5","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.190","0.177","-129.900","12023.2","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.128","0.180","-84.000","11956.8","7.000","7.000","9.722","5.389","0.096"
