"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.839","0.000","-312.900","13994.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.173","0.000","-282.000","13998.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.676","0.010","-275.100","13994.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.046","0.018","-299.100","14001.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.424","0.023","-304.800","13994.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.758","0.028","-299.100","14001.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.164","0.033","-277.200","13993.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.205","0.037","-264.300","14001.3","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.553","0.041","-102.900","13994.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.720","0.045","-186.000","14000.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.583","0.048","-240.900","13995.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.471","0.052","-224.400","13998.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.794","0.055","-95.400","13997.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.829","0.059","-187.200","13998.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","9.911","0.062","-152.400","14000.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.114","0.066","-100.500","13989.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.158","0.069","-153.900","13959.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.343","0.072","-92.100","13900.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.349","0.077","-165.900","13849.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.458","0.082","-102.900","13782.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.473","0.086","-142.500","13725.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.652","0.091","-93.000","13653.1","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.623","0.095","-214.500","13590.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.702","0.099","-157.500","13517.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.696","0.103","-173.100","13445.8","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.792","0.107","-129.000","13367.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.707","0.110","-175.200","13285.0","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.660","0.113","-134.100","13209.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.687","0.116","-124.200","13126.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.489","0.119","-166.200","13059.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.522","0.122","-86.400","12982.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.292","0.124","-164.400","12923.1","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","10.278","0.126","-80.400","12861.5","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","10.011","0.129","-149.400","12807.3","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.991","0.131","-72.900","12759.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.778","0.133","-115.800","12705.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.567","0.135","-110.700","12664.5","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.544","0.137","-50.100","12610.7","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.214","0.139","-137.400","12566.2","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","9.204","0.141","-45.300","12514.5","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.909","0.143","-110.400","12459.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.852","0.146","-60.000","12408.8","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.663","0.148","-76.800","12343.5","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.470","0.150","-90.900","12287.9","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.425","0.152","-39.900","12219.5","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","8.151","0.154","-103.500","12152.2","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","8.113","0.157","-50.100","12086.6","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.913","0.159","-74.700","12010.5","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.787","0.161","-77.100","11945.4","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.688","0.163","-48.000","11869.0","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.513","0.166","-86.400","11796.5","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.434","0.168","-54.000","11727.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.294","0.170","-66.000","11648.8","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.163","0.172","-75.000","11582.8","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.089","0.175","-48.600","11509.7","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.948","0.177","-74.400","11438.4","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.841","0.179","-63.900","11377.5","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.780","0.181","-50.100","11306.7","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.600","0.183","-85.200","11247.5","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.591","0.186","-36.900","11187.6","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.452","0.188","-71.400","11121.7","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.339","0.191","-64.500","11067.4","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.344","0.194","-37.800","11003.4","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.188","0.197","-92.700","10939.1","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.149","0.200","-67.500","10881.0","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.128","0.204","-64.800","10810.8","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.016","0.207","-102.600","10744.2","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","6.013","0.211","-70.500","10679.0","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.995","0.215","-86.700","10602.3","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.901","0.219","-107.700","10533.9","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.942","0.223","-71.700","10462.7","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.903","0.227","-113.700","10383.9","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.839","0.231","-114.900","10315.0","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.908","0.235","-82.800","10241.6","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.849","0.239","-128.100","10163.2","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.826","0.243","-112.500","10095.2","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.861","0.247","-99.600","10021.6","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.837","0.252","-127.200","9944.4","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.812","0.256","-119.700","9876.4","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.868","0.260","-105.300","9803.2","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.832","0.265","-132.300","9725.3","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.793","0.269","-123.300","9656.2","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.858","0.273","-108.600","9582.7","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.821","0.278","-134.700","9503.1","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.795","0.282","-129.900","9431.0","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.843","0.286","-113.700","9357.0","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.831","0.291","-134.100","9275.6","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.774","0.295","-139.800","9199.1","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.840","0.299","-110.700","9125.0","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.832","0.304","-134.100","9042.8","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.783","0.308","-135.900","8961.7","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.838","0.313","-116.100","8887.0","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.841","0.317","-133.800","8805.2","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.797","0.322","-140.700","8720.9","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.815","0.326","-123.300","8643.1","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.833","0.330","-130.200","8563.2","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.807","0.335","-138.300","8476.7","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.803","0.339","-132.300","8392.8","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.804","0.344","-130.800","8313.0","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.815","0.348","-128.100","8226.8","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.797","0.353","-138.600","8137.8","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.778","0.357","-137.100","8053.5","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.799","0.362","-127.800","7969.3","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.801","0.366","-132.300","7878.7","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.768","0.371","-143.400","7787.8","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.761","0.375","-136.200","7702.1","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.781","0.380","-126.600","7613.9","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.783","0.384","-136.200","7521.1","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.756","0.389","-141.900","7435.3","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.734","0.394","-144.000","7387.6","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.774","0.398","-119.400","7333.1","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.774","0.403","-142.500","7255.8","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.728","0.407","-148.500","7183.3","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.722","0.412","-134.700","7115.0","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.761","0.417","-126.300","7044.6","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.747","0.421","-142.800","6971.3","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.711","0.426","-149.700","6901.0","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.707","0.431","-135.600","6833.0","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.731","0.436","-132.900","6762.6","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.728","0.440","-145.800","6687.1","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.701","0.445","-144.300","6611.7","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.695","0.450","-143.100","6537.8","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.698","0.455","-142.500","6464.8","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.719","0.459","-138.000","6387.2","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.699","0.464","-146.400","6307.4","9.000","9.000","6.442","4.285","0.248"
